country,subdivision,operator_name,operator_url,region_id_in_project,current_tier,phenomenon,coverage_status,data_format,probe_result,available_anchor,annual_anchor_TWh,recommended_action,recommended_tier_landing,loader_pattern_hint,priority_score,notes
CHN,Inner Mongolia,State Grid Inner Mongolia East / IMPS,http://www.im.sgcc.com.cn/,inner-mongolia,T2,curtailment-renewable,published,PDF-only,probe-not-attempted-known-walled,NEA 2024 wind+solar curtailment provincial bulletin,8.0,leave-existing-T1+,not-applicable,not-applicable,0.0,"Largest CN wind province; NEA 2024 reports wind ~7%, solar ~5% curtailment; SGCC portal SPA/walled"
CHN,Xinjiang,State Grid Xinjiang Electric Power,http://www.xj.sgcc.com.cn/,xinjiang,T2,curtailment-renewable,published,PDF-only,probe-not-attempted-known-walled,NEA 2024 provincial RE curtailment bulletin,9.0,leave-existing-T1+,not-applicable,not-applicable,0.0,Largest CN solar+wind curtailment; NEA 2024 wind ~7% solar ~5%; SGCC subsidiary; no public hourly feed
CHN,Gansu,State Grid Gansu Electric Power,http://www.gs.sgcc.com.cn/,gansu,T2,curtailment-renewable,published,PDF-only,probe-not-attempted-known-walled,NEA 2024 provincial RE curtailment bulletin,3.5,leave-existing-T1+,not-applicable,not-applicable,0.0,Historic high-curtailment province; NEA 2024 wind ~5% solar ~5%; SPA portal not machine-readable
CHN,Qinghai,State Grid Qinghai Electric Power,http://www.qh.sgcc.com.cn/,qinghai,T2,curtailment-renewable,published,PDF-only,probe-not-attempted-known-walled,NEA 2024 provincial RE curtailment bulletin,2.0,leave-existing-T1+,not-applicable,not-applicable,0.0,High solar penetration; NEA 2024 solar ~5%; no public hourly feed; aggregated under SGCC NW Branch
CHN,Tibet (Xizang),State Grid Tibet Electric Power,http://www.xz.sgcc.com.cn/,tibet,T2,curtailment-renewable,published,PDF-only,probe-not-attempted-known-walled,NEA 2024 provincial RE curtailment bulletin,1.0,leave-existing-T1+,not-applicable,not-applicable,0.0,Hydro spill + isolated grid; NEA 2024 figures provincial; no hourly public feed
CHN,Sichuan,State Grid Sichuan Electric Power,http://www.sc.sgcc.com.cn/,sichuan,T2,curtailment-renewable,published,PDF-only,probe-not-attempted-known-walled,NEA 2024 provincial hydro-spill bulletin,12.0,leave-existing-T1+,not-applicable,not-applicable,0.0,Hydro spill dominated; NEA 2024 anchor; no machine-readable hourly portal
CHN,Yunnan,Yunnan Power Grid (China Southern Grid),http://www.yn.csg.cn/,yunnan,T2,curtailment-renewable,published,PDF-only,probe-not-attempted-known-walled,NEA 2024 provincial RE curtailment bulletin,4.0,leave-existing-T1+,not-applicable,not-applicable,0.0,CSG jurisdiction (not SGCC); hydro spill; SPA portal; aggregated in CSG transparency PDFs only
CHN,Guizhou,Guizhou Power Grid (China Southern Grid),http://www.gz.csg.cn/,,T2,curtailment-renewable,documented-gap,PDF-only,probe-not-attempted-known-walled,NEA 2024 provincial RE curtailment bulletin,1.0,introduce-as-T3,T3,not-applicable,0.0,CSG jurisdiction; not currently modelled; modest wind/solar share; would need NEA bulletin extraction
CHN,Hubei,State Grid Hubei Electric Power,http://www.hb.sgcc.com.cn/,,not-modelled,curtailment-renewable,documented-gap,PDF-only,probe-not-attempted-known-walled,NEA 2024 provincial RE curtailment bulletin,0.5,introduce-as-T3,T3,not-applicable,0.0,Central CN province; low curtailment historically; SGCC portal SPA
CHN,Hunan,State Grid Hunan Electric Power,http://www.hn.sgcc.com.cn/,,not-modelled,curtailment-renewable,documented-gap,PDF-only,probe-not-attempted-known-walled,NEA 2024 provincial RE curtailment bulletin,0.5,introduce-as-T3,T3,not-applicable,0.0,Central CN; small RE curtailment; SGCC portal SPA
CHN,Hebei,State Grid Hebei Electric Power,http://www.he.sgcc.com.cn/,,not-modelled,curtailment-renewable,documented-gap,PDF-only,probe-not-attempted-known-walled,NEA 2024 provincial RE curtailment bulletin,2.0,introduce-as-T3,T3,not-applicable,0.0,Large wind/solar capacity around Beijing; aggregated in SGCC N Branch; portal not public-data
CHN,Shanxi,State Grid Shanxi Electric Power,http://www.sx.sgcc.com.cn/,,not-modelled,curtailment-renewable,documented-gap,PDF-only,probe-not-attempted-known-walled,NEA 2024 provincial RE curtailment bulletin,1.5,introduce-as-T3,T3,not-applicable,0.0,Coal+wind province; SGCC N Branch; NEA bulletin only data
CHN,Liaoning,State Grid Liaoning Electric Power,http://www.ln.sgcc.com.cn/,,not-modelled,curtailment-renewable,documented-gap,PDF-only,probe-not-attempted-known-walled,NEA 2024 provincial RE curtailment bulletin,1.0,introduce-as-T3,T3,not-applicable,0.0,SGCC NE Branch; significant wind; portal walled
CHN,Jilin,State Grid Jilin Electric Power,http://www.jl.sgcc.com.cn/,,not-modelled,curtailment-renewable,documented-gap,PDF-only,probe-not-attempted-known-walled,NEA 2024 provincial RE curtailment bulletin,1.0,introduce-as-T3,T3,not-applicable,0.0,SGCC NE Branch; wind-rich; NEA reports >5% historical
CHN,Heilongjiang,State Grid Heilongjiang Electric Power,http://www.hlj.sgcc.com.cn/,,not-modelled,curtailment-renewable,documented-gap,PDF-only,probe-not-attempted-known-walled,NEA 2024 provincial RE curtailment bulletin,1.5,introduce-as-T3,T3,not-applicable,0.0,SGCC NE Branch; cold-region wind curtailment; no public hourly
CHN,Shandong,State Grid Shandong Electric Power,http://www.sd.sgcc.com.cn/,,not-modelled,curtailment-renewable,documented-gap,PDF-only,probe-not-attempted-known-walled,NEA 2024 provincial RE curtailment bulletin,3.0,introduce-as-T3,T3,not-applicable,0.0,Largest distributed-PV province; rising curtailment 2024; SPA portal; NEA bulletin only
CHN,Jiangsu,State Grid Jiangsu Electric Power,http://www.js.sgcc.com.cn/,,not-modelled,curtailment-renewable,documented-gap,PDF-only,probe-not-attempted-known-walled,NEA 2024 provincial RE curtailment bulletin,1.0,introduce-as-T3,T3,not-applicable,0.0,Coastal wind + solar; SGCC E Branch; portal not public-data
CHN,Zhejiang,State Grid Zhejiang Electric Power,http://www.zj.sgcc.com.cn/,,not-modelled,curtailment-renewable,documented-gap,PDF-only,probe-not-attempted-known-walled,NEA 2024 provincial RE curtailment bulletin,0.5,introduce-as-T3,T3,not-applicable,0.0,Coastal solar+wind; SGCC E Branch; low historical curtailment
CHN,Anhui,State Grid Anhui Electric Power,http://www.ah.sgcc.com.cn/,,not-modelled,curtailment-renewable,documented-gap,PDF-only,probe-not-attempted-known-walled,NEA 2024 provincial RE curtailment bulletin,0.5,introduce-as-T3,T3,not-applicable,0.0,Eastern CN; modest RE; SGCC E Branch
CHN,Jiangxi,State Grid Jiangxi Electric Power,http://www.jx.sgcc.com.cn/,,not-modelled,curtailment-renewable,documented-gap,PDF-only,probe-not-attempted-known-walled,NEA 2024 provincial RE curtailment bulletin,0.3,introduce-as-T3,T3,not-applicable,0.0,Central CN; small RE share; SGCC C Branch
CHN,Fujian,State Grid Fujian Electric Power,http://www.fj.sgcc.com.cn/,,not-modelled,curtailment-renewable,documented-gap,PDF-only,probe-not-attempted-known-walled,NEA 2024 provincial RE curtailment bulletin,0.3,introduce-as-T3,T3,not-applicable,0.0,Coastal; offshore wind growing; SGCC E Branch; no hourly public
CHN,Guangdong,Guangdong Power Grid (China Southern Grid),http://www.gd.csg.cn/,,not-modelled,curtailment-renewable,documented-gap,PDF-only,probe-not-attempted-known-walled,NEA 2024 provincial RE curtailment bulletin,1.5,introduce-as-T3,T3,not-applicable,0.0,CSG largest market; offshore wind + Pearl River solar; CSG transparency PDFs only
CHN,Guangxi,Guangxi Power Grid (China Southern Grid),http://www.gx.csg.cn/,,not-modelled,curtailment-renewable,documented-gap,PDF-only,probe-not-attempted-known-walled,NEA 2024 provincial RE curtailment bulletin,0.5,introduce-as-T3,T3,not-applicable,0.0,CSG jurisdiction; modest wind+solar; no hourly public
CHN,Hainan,Hainan Power Grid (China Southern Grid),http://www.hi.csg.cn/,,not-modelled,curtailment-renewable,documented-gap,PDF-only,probe-not-attempted-known-walled,NEA 2024 provincial RE curtailment bulletin,0.2,introduce-as-T3,T3,not-applicable,0.0,Island system; CSG; small RE base
CHN,Henan,State Grid Henan Electric Power,http://www.ha.sgcc.com.cn/,,not-modelled,curtailment-renewable,documented-gap,PDF-only,probe-not-attempted-known-walled,NEA 2024 provincial RE curtailment bulletin,1.0,introduce-as-T3,T3,not-applicable,0.0,Central CN; rising distributed PV; SGCC C Branch
CHN,Shaanxi,State Grid Shaanxi Electric Power,http://www.sn.sgcc.com.cn/,,not-modelled,curtailment-renewable,documented-gap,PDF-only,probe-not-attempted-known-walled,NEA 2024 provincial RE curtailment bulletin,1.5,introduce-as-T3,T3,not-applicable,0.0,NW Branch fringe; wind+solar growing; NEA bulletin only
CHN,Ningxia,State Grid Ningxia Electric Power,http://www.nx.sgcc.com.cn/,ningxia,T2,curtailment-renewable,published,PDF-only,probe-not-attempted-known-walled,NEA 2024 provincial RE curtailment bulletin,2.5,leave-existing-T1+,not-applicable,not-applicable,0.0,Already modelled; SGCC NW Branch; high solar curtailment; portal walled
CHN,Beijing,State Grid Beijing Electric Power,http://www.bj.sgcc.com.cn/,,not-modelled,none-expected,documented-gap,PDF-only,probe-not-attempted-known-walled,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,Municipal load centre; negligible RE generation in-province; no curtailment phenomenon
CHN,Tianjin,State Grid Tianjin Electric Power,http://www.tj.sgcc.com.cn/,,not-modelled,none-expected,documented-gap,PDF-only,probe-not-attempted-known-walled,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,Municipal load centre; small RE base
CHN,Shanghai,State Grid Shanghai Municipal Electric Power,http://www.sh.sgcc.com.cn/,,not-modelled,none-expected,documented-gap,PDF-only,probe-not-attempted-known-walled,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,Municipal load centre; minimal RE
CHN,Chongqing,State Grid Chongqing Electric Power,http://www.cq.sgcc.com.cn/,,not-modelled,curtailment-renewable,documented-gap,PDF-only,probe-not-attempted-known-walled,NEA 2024 provincial RE curtailment bulletin,0.2,introduce-as-T3,T3,not-applicable,0.0,Municipal load + small hydro; SGCC C Branch; minimal curtailment
