country,subdivision,operator_name,operator_url,region_id_in_project,current_tier,phenomenon,coverage_status,data_format,probe_result,available_anchor,annual_anchor_TWh,recommended_action,recommended_tier_landing,loader_pattern_hint,priority_score,notes
Australia,New South Wales,AEMO NEM (NSW),https://nemweb.com.au/Reports/Current/Next_Day_Dispatch/,aemo-nsw,T1a,curtailment-renewable,published,CSV-download,already-modelled,AEMO 2024 NEMWeb NSW wind+solar curtailment 2024,0.5,leave-existing-T1+,not-applicable,not-applicable,0.0,Existing T1a region; NEMWeb Next-Day Dispatch CSVs.
Australia,Victoria,AEMO NEM (VIC),https://nemweb.com.au/Reports/Current/Next_Day_Dispatch/,aemo-vic,T1a,curtailment-renewable,published,CSV-download,already-modelled,AEMO 2024 NEMWeb VIC wind+solar curtailment 2024,0.3,leave-existing-T1+,not-applicable,not-applicable,0.0,Existing T1a region; NEMWeb Next-Day Dispatch CSVs.
Australia,Queensland,AEMO NEM (QLD),https://nemweb.com.au/Reports/Current/Next_Day_Dispatch/,aemo-qld,T1a,curtailment-renewable,published,CSV-download,already-modelled,AEMO 2024 NEMWeb QLD wind+solar curtailment 2024,0.8,leave-existing-T1+,not-applicable,not-applicable,0.0,Existing T1a region; PV congestion in North QLD.
Australia,South Australia,AEMO NEM (SA),https://nemweb.com.au/Reports/Current/Next_Day_Dispatch/,aemo-sa,T1a,curtailment-renewable,published,CSV-download,already-modelled,AEMO 2024 NEMWeb SA wind+solar curtailment 2024,0.4,leave-existing-T1+,not-applicable,not-applicable,0.0,Existing T1a region; system-strength limited.
Australia,Tasmania,AEMO NEM (TAS),https://nemweb.com.au/Reports/Current/Next_Day_Dispatch/,aemo-tas,T1a,curtailment-renewable,published,CSV-download,already-modelled,AEMO 2024 NEMWeb TAS wind curtailment 2024,0.1,leave-existing-T1+,not-applicable,not-applicable,0.0,Existing T1a region; small wind curtailment.
Australia,Western Australia,AEMO WEM (SWIS),https://data.wa.aemo.com.au/,wa-swis,T1a,curtailment-renewable,published,CSV-download,already-modelled,AEMO 2024 WA SWIS Facility SCADA curtailment 2024,0.4,leave-existing-T1+,not-applicable,not-applicable,0.0,Existing T1a region; WEM Facility SCADA via data.wa.aemo.com.au.
Australia,Northern Territory,AEMO NTEM (DKIS/Tennant Creek),https://aemo.com.au/energy-systems/electricity/northern-territory-electricity-market-ntem,,not-modelled,curtailment-renewable,documented-gap,PDF-only,not-probed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,Small isolated NT systems (DKIS ~250MW peak); AEMO publishes quarterly QED PDFs only; no TWh curtailment anchor.
New Zealand,National,Transpower NZ / EMI,https://www.emi.ea.govt.nz/Wholesale/Datasets/Generation/Generation_MD,new-zealand,T1a,curtailment-renewable,published,CSV-download,already-modelled,Transpower 2024 RES curtailment low,0.05,leave-existing-T1+,not-applicable,not-applicable,0.0,Existing T1a region; EMI CSV downloads for generation MD.
Fiji,National,Energy Fiji Limited (EFL),https://www.efl.com.fj/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,not-probed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,Small grid (~1.1 TWh/yr); hydro+diesel mix; no published curtailment data; corporate site only.
Papua New Guinea,National,PNG Power Limited (PPL),https://www.pngpower.com.pg/,,not-modelled,both,documented-gap,parseable-HTML-table,not-probed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,Port Moresby/Ramu/Gazelle isolated grids ~1.2 TWh; PNG flare GGFR likely covered under flare-region pass.
Solomon Islands,National,Solomon Power (SIEA),https://www.solomonpower.com.sb/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,not-probed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,Diesel-dominated island system ~0.1 TWh; Tina River hydro under construction; no curtailment data.
Vanuatu,National,UNELCO Engie / VUI,https://www.unelco.com.vu/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,not-probed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,Concession utility (Engie) Port Vila + VUI Luganville; <0.1 TWh; no published curtailment.
Samoa,National,Electric Power Corporation (EPC),https://www.epc.ws/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,not-probed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,Diesel+solar+hydro ~0.13 TWh; no published curtailment time series.
Tonga,National,Tonga Power Limited (TPL),https://www.tongapower.to/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,not-probed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,Tongatapu+outer islands ~0.06 TWh; TERM 2020 plan; no live curtailment data.
Kiribati,National,Public Utilities Board (PUB Kiribati),https://www.pub.com.ki/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,not-probed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,Tarawa+Kiritimati islands; <0.03 TWh; diesel+small PV; no curtailment anchor.
Tuvalu,National,Tuvalu Electricity Corporation (TEC),https://gov.tv/,,not-modelled,curtailment-renewable,documented-gap,no-public-data,not-probed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,No dedicated TEC website found; Funafuti diesel+PV; <0.01 TWh; no curtailment anchor.
Federated States of Micronesia,Pohnpei (and state utilities),Pohnpei Utilities Corporation (PUC),https://www.puc.fm/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,not-probed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,State-level utilities (PUC Pohnpei; CPUC Chuuk; KUA Kosrae; YSPSC Yap); ~0.07 TWh combined; no curtailment data.
Palau,National,Palau Public Utilities Corporation (PPUC),https://palaupowerup.pw/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,not-probed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,Koror-Babeldaob grid ~0.09 TWh; diesel+PV; no curtailment anchor.
Nauru,National,Nauru Utilities Corporation (NUC),https://nuc.com.nr/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,not-probed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,Single-island diesel+PV; <0.04 TWh; no curtailment anchor.
Marshall Islands,National,Marshalls Energy Company (MEC),https://www.mecrmi.net/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,not-probed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,Majuro+Ebeye+outer atolls ~0.07 TWh; diesel-dominated; no curtailment anchor.
Cook Islands,National,Te Aponga Uira (TAU),https://www.teaponga.com/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,not-probed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,Rarotonga grid ~0.03 TWh; PV+diesel; high-RE share but no curtailment time series.
Niue,National,Niue Power Corporation,https://www.niuepower.nu/,,not-modelled,curtailment-renewable,documented-gap,no-public-data,not-probed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,Single-island grid <0.005 TWh; diesel+PV; no public data.
Wallis and Futuna,Overseas Collectivity (FRA),EEWF (covered under France),https://www.eewf.fr/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,not-probed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,French overseas collectivity; cross-ref to Europe-ENTSO-E task; isolated diesel grid <0.02 TWh.
French Polynesia,Overseas Country (FRA),EDT-Engie (Electricite de Tahiti),https://www.edt.pf/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,not-probed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,French overseas territory; Tahiti+Moorea+atolls ~0.7 TWh; hydro+diesel+PV; no public curtailment anchor.
New Caledonia,Sui Generis Collectivity (FRA),Enercal,https://www.enercal.nc/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,not-probed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,French overseas; Grande Terre grid ~3 TWh including Doniambo/SLN nickel smelter; no public curtailment data.
