country,subdivision,operator_name,operator_url,region_id_in_project,current_tier,phenomenon,coverage_status,data_format,probe_result,available_anchor,annual_anchor_TWh,recommended_action,recommended_tier_landing,loader_pattern_hint,priority_score,notes,parent_region_id,granularity_available,expected_new_regions
ZAF,,Eskom Data Portal,https://www.eskom.co.za/dataportal/renewables-performance/total-hourly-renewable-generation/,south-africa-solar,T1a,curtailment-renewable,published,CSV-download,403 from WebFetch; project loader confirmed working via src/data/south-africa.json.ts,Eskom MTSAO 2025,4.4,leave-existing-T1+,T1a,not-applicable,0.0000,Fuel-split already live: south-africa-solar (PV+CSP) and south-africa-wind both T1a. Portal 403 is bot-block not access barrier.,south-africa-solar,fuel-split,0
ZAF,,Eskom Data Portal (wind),https://www.eskom.co.za/dataportal/renewables-performance/total-hourly-renewable-generation/,south-africa-wind,T1a,curtailment-renewable,published,CSV-download,403 from WebFetch; project loader confirmed working via src/data/south-africa.json.ts,Eskom MTSAO 2025,0.0,leave-existing-T1+,T1a,not-applicable,0.0000,Wind region already T1a. CSV has Wind+PV+CSP+Other_RE columns. No per-plant breakdown found in codebase.,south-africa-wind,fuel-split,0
NGA,,Transmission Company of Nigeria (TCN),https://www.tcn.org.ng/,nigeria,T3,curtailment-renewable,documented-gap,no-public-data,homepage-200; repository has load summaries only; no generation dispatch,Ember Nigeria 2024,0.1,leave-T3,T3,not-applicable,0.0000,TCN repo has load summaries and newsletters; no renewable dispatch series. NERC industry-stats 500 error.,,none,0
NGA,Niger Delta,NNPC / NERC (flare monitoring),https://www.nerc.gov.ng/,nigeria,T3,flare-associated-gas,documented-gap,no-public-data,homepage-200; NERC industry-stats returned 500 error,World Bank GGFR 2024,7.0,leave-T3,T3,not-applicable,0.0000,Niger Delta flare ~7 TWh-eq/yr per GGFR. NERC quarterly infographics only; no machine-readable flare series.,,none,0
Regional,West Africa/North Africa,World Bank GGFR — Nigeria/Algeria/Libya,https://www.worldbank.org/en/programs/gasflaringreduction/global-flaring-data,,not-modelled,flare-associated-gas,published,XLSX-table,200 OK — country + site-level XLSX downloads confirmed,World Bank GGFR 2024,25.0,introduce-as-T3,T3,not-applicable,0.0000,GGFR publishes 2012-2024 XLSX: country-level and per-flare-site volumes. Nigeria+Algeria+Libya in top-9 flaring nations.,,none,3
MAR,,ONEE / MASEN,https://www.masen.ma/,morocco,T3,curtailment-renewable,documented-gap,no-public-data,ONEE ECONNREFUSED; MASEN 200 PR-only; ANRE 200 regulatory docs only,IRENA Morocco 2024,0.2,leave-T3,T3,not-applicable,0.0000,ONEE offline at probe. MASEN publishes solar atlas and project map only. ANRE tariff decisions only.,,none,0
EGY,,NREA / EETC,https://nrea.gov.eg/,egypt,T3,curtailment-renewable,documented-gap,no-public-data,homepage-200; capacity stats and solar atlas only; no dispatch series,World Bank Benban 2024,0.5,leave-T3,T3,not-applicable,0.0000,NREA publishes solar+wind atlases and PDF reports. Benban curtailment in WB reports but not machine-readable.,,none,0
KEN,,Kenya Power (KPLC) / KETRACO,https://www.ketraco.co.ke/,kenya,T3,curtailment-renewable,documented-gap,no-public-data,KETRACO 200 infrastructure stats only; KPLC 403; EPRA cert error,EPRA Annual Report 2025,0.3,leave-T3,T3,not-applicable,0.0000,KETRACO: infrastructure km and project counts only. KPLC returned 403. EPRA cert error. No dispatch series.,,none,0
ETH,,Ethiopian Electric Power (EEP),https://www.eep.com.et/,ethiopia,T3,curtailment-renewable,documented-gap,no-public-data,homepage-200; annual GWh and capacity stats only; no time-series,EEP Annual Report 2025,0.1,leave-T3,T3,not-applicable,0.0000,EEP homepage: 9213 MW hydro + 504 MW wind. Annual GWh figure only. No hourly hydro generation series found.,,none,0
GHA,,Ghana Grid Company (GRIDCo),https://www.gridcogh.com/,ghana,T3,curtailment-renewable,documented-gap,no-public-data,homepage-200; publications subpages 404; no time-series data,Ember Ghana 2024,0.1,leave-T3,T3,not-applicable,0.0000,GRIDCo homepage 200 but publication sub-URLs returned 404. No generation mix or renewable dispatch series found.,,none,0
