country,subdivision,operator_name,operator_url,region_id_in_project,current_tier,phenomenon,coverage_status,data_format,probe_result,available_anchor,annual_anchor_TWh,recommended_action,recommended_tier_landing,loader_pattern_hint,priority_score,notes
IND / India,National,Grid-India (POSOCO) / NLDC,https://posoco.in/,,T2,curtailment-renewable,published,PDF-only,timeout,"POSOCO RE Curtailments 2023 PDF (posoco.in/en/re-curtailments/)",2.5,introduce-as-T3,T3,not-applicable,0.0,"Annual RE-curtailment reports + monthly daily-reports per RLDC; aggregate TWh is the parent of the 5 RLDC rows below"
IND / India,Northern Region,NRLDC (Northern Regional Load Despatch Centre),https://nrldc.in/,india-north,T2,curtailment-renewable,published,PDF-only,timeout,"NRLDC Daily RE-Curtailment Report (nrldc.in/en/reports/daily-reports/re-curtailment-report/)",0.8,leave-existing-T1+,not-applicable,not-applicable,0.0,"Daily PDF + state SLDC feeds; covers Rajasthan/UP/Delhi/MP-north; existing india-north uses NRLDC fallback"
IND / India,Southern Region,SRLDC (Southern Regional Load Despatch Centre),https://srldc.in/,india-south,T2,curtailment-renewable,published,parseable-HTML-table,timeout,"SRLDC WBES scheduling reports + daily PDFs (wbes.srldc.in/Report)",1.2,leave-existing-T1+,not-applicable,not-applicable,0.0,"WBES scheduling portal + daily PDFs; covers KA/TN/AP/TG/KL; india-south fallback uses SRLDC"
IND / India,Western Region,WRLDC (Western Regional Load Despatch Centre),https://wrldc.in/,india-west,T2,curtailment-renewable,published,PDF-only,timeout,"WRLDC daily/monthly RE reports (Maharashtra+Gujarat highest curtailment)",0.5,leave-existing-T1+,not-applicable,not-applicable,0.0,"Daily PDF reports; covers Gujarat/Maharashtra/MP/Goa; india-west fallback uses WRLDC"
IND / India,Eastern Region,ERLDC (Eastern Regional Load Despatch Centre),https://erldc.in/,india-east,T2,curtailment-renewable,published,PDF-only,timeout,"ERLDC daily PDFs; lower RE share but rising solar in Odisha/WB",0.1,leave-existing-T1+,not-applicable,not-applicable,0.0,"Covers WB/Odisha/Bihar/Jharkhand/Sikkim; existing india-east fallback uses ERLDC"
IND / India,North-Eastern Region,NERLDC (North-Eastern Regional Load Despatch Centre),https://nerldc.in/,,T2,curtailment-renewable,documented-gap,unreachable,ECONNREFUSED,"none",0.0,blocked-document-only,not-applicable,not-applicable,0.0,"Covers Assam/Meghalaya/Tripura/Manipur/Nagaland/Mizoram/AP; minimal RE penetration; not modelled separately in regions.ts"
IND / India,Karnataka,KSLDC (Karnataka State Load Despatch Centre),https://kptclsldc.in/,india-south,T2,curtailment-renewable,published,parseable-HTML-table,200,"KSLDC RE Curtailment Details + SCADA portal (sda.kptclsldc.in)",0.4,leave-existing-T1+,not-applicable,not-applicable,0.0,"Real-time wind/solar dashboard + daily curtailment PDFs; rolls into india-south aggregate"
IND / India,Tamil Nadu,TNSLDC (Tamil Nadu State Load Despatch Centre),https://www.sldc.tn.gov.in/,india-south,T2,curtailment-renewable,published,unreachable,ECONNREFUSED,"TNERC 2024 order on 249MW curtailment compensation (TNSLDC instructions)",0.5,leave-existing-T1+,not-applicable,not-applicable,0.0,"Material curtailment 2024 per TNERC; rolls into india-south"
IND / India,Gujarat,GSLDC (Gujarat State Load Despatch Centre),https://sldcguj.com/,india-west,T2,curtailment-renewable,published,unreachable,403,"Ember/IEEFA SET 2024 - Gujarat top RE state, 4.32 GW solar adds 2024",0.3,leave-existing-T1+,not-applicable,not-applicable,0.0,"GSLDC publishes daily curtailment but probe blocked; rolls into india-west"
IND / India,Rajasthan,RSLDC (Rajasthan SLDC) / RRVPNL,https://rrvpnl.org/,india-north,T2,curtailment-renewable,published,unreachable,ECONNREFUSED,"Rajasthan FY24-25 RE 57.35 BU (43.86% of 130.77 BU total)",0.4,leave-existing-T1+,not-applicable,not-applicable,0.0,"Largest solar capacity adds 2024 (7.09 GW); RSLDC publishes daily reports; rolls into india-north"
IND / India,Maharashtra,MSLDC (Maharashtra State Load Despatch Centre),http://www.mahasldc.in/,india-west,T2,curtailment-renewable,published,unreachable,TLS-cert-error,"MSLDC daily reports (TLS cert error from probe location)",0.2,leave-existing-T1+,not-applicable,not-applicable,0.0,"Cert mismatch on www.mahasldc.in; reachable from India; rolls into india-west"
IND / India,Andhra Pradesh,APSLDC (Andhra Pradesh SLDC),https://apsldc.in/,india-south,T2,curtailment-renewable,documented-gap,unreachable,ECONNREFUSED,"none",0.0,leave-existing-T1+,not-applicable,not-applicable,0.0,"Site unreachable from probe; AP has wind+solar but limited public RE data; rolls into india-south"
IND / India,Telangana,TSLDC (Telangana State Load Despatch Centre),https://tssldc.com/,india-south,T2,curtailment-renewable,documented-gap,no-public-data,200,"none",0.0,leave-existing-T1+,not-applicable,not-applicable,0.0,"Domain returns Chinese-language squat content; TSLDC operational data not publicly indexed; rolls into india-south"
IND / India,Madhya Pradesh,MPSLDC (Madhya Pradesh SLDC),https://www.mpsldc.com/,india-west,T2,curtailment-renewable,documented-gap,unreachable,ECONNREFUSED,"none",0.0,leave-existing-T1+,not-applicable,not-applicable,0.0,"Site unreachable; MP straddles WRLDC/NRLDC; rolls into india-west"
IND / India,All-India,CEA (Central Electricity Authority),https://cea.nic.in/,,T2,curtailment-renewable,published,PDF-only,TLS-cert-error,"CEA monthly Renewable Energy Generation Report (PDF)",0.0,introduce-as-T3,T3,not-applicable,0.0,"CEA publishes monthly RE generation PDFs; cert error from probe; useful as cross-check anchor not as live feed"
PAK / Pakistan,National,NTDC / NPCC (National Power Control Centre),https://ntdc.gov.pk/,pakistan,T2,curtailment-renewable,published,PDF-only,timeout,"Renewables First Pakistan Electricity Review 2024 (1 TWh solar 2024)",0.05,leave-existing-T1+,not-applicable,not-applicable,0.0,"NTDC IGCEP + NPCC dispatch data only in periodic PDFs; 5% RE share 2024; small absolute curtailment"
PAK / Pakistan,National,NEPRA (regulator),https://nepra.org.pk/,pakistan,T2,curtailment-renewable,published,PDF-only,403,"NEPRA State of Industry Report 2024 (PDF)",0.0,leave-existing-T1+,not-applicable,not-applicable,0.0,"403 from probe; SOI Reports cover annual curtailment qualitatively; existing pakistan region uses NEPRA fallback"
BGD / Bangladesh,National,PGCB (Power Grid Company of Bangladesh),https://pgcb.gov.bd/,bangladesh,T2,curtailment-renewable,published,unreachable,TLS-cert-error,"NREL 2024 modelling note: 15-20% solar curtailment in north Bangladesh",0.0,leave-existing-T1+,not-applicable,not-applicable,0.0,"Cert verification fails; system operator role; SREDA publishes RE statistics separately"
BGD / Bangladesh,National,BPDB (Bangladesh Power Development Board),https://bpdb.gov.bd/,bangladesh,T2,curtailment-renewable,published,PDF-only,TLS-cert-error,"BPDB Daily Electricity Generation Report (misc.bpdb.gov.bd/storage/daily_entry/YYYY-MM-DD.pdf)",0.05,leave-existing-T1+,not-applicable,not-applicable,0.0,"Daily PDF with stable URL pattern - viable Pattern-D candidate for future T1 promotion"
BGD / Bangladesh,National,SREDA (Sustainable Renewable Energy Development Authority),https://ndre.sreda.gov.bd/,bangladesh,T2,curtailment-renewable,published,parseable-HTML-table,timeout,"SREDA NDRE renewable energy portal",0.0,leave-existing-T1+,not-applicable,not-applicable,0.0,"Renewable capacity tracker; complements PGCB; rolls into bangladesh region"
LKA / Sri Lanka,National,CEB (Ceylon Electricity Board),https://www.ceb.lk/,,not-modelled,curtailment-renewable,documented-gap,JS-rendered-SPA,200,"none",0.0,blocked-document-only,not-applicable,not-applicable,0.0,"Daily Net Electricity Generation panel is JS-loaded ('wait...'); LTGEP 2025-2044 PDFs only; no public TWh curtailment anchor"
NPL / Nepal,National,NEA (Nepal Electricity Authority),https://www.nea.org.np/,,not-modelled,none-expected,published,PDF-only,200,"none",0.0,leave-not-modelled,not-applicable,not-applicable,0.0,"Hydro-dominant grid (>95%); operational reports as PDFs (Vidyut 2082); no curtailment phenomenon expected"
BTN / Bhutan,National,BPC (Bhutan Power Corporation - transmission),https://www.bpc.bt/,,not-modelled,none-expected,documented-gap,no-public-data,200,"none",0.0,leave-not-modelled,not-applicable,not-applicable,0.0,"Customer-facing site; eDISPATCH internal-only; hydro-dominant exporter to India; no public dispatch data"
BTN / Bhutan,National,DGPC (Druk Green Power Corporation),https://www.dgpc.bt/,,not-modelled,none-expected,documented-gap,unreachable,ECONNREFUSED,"none",0.0,leave-not-modelled,not-applicable,not-applicable,0.0,"Generation-side; hydro-only fleet; site unreachable from probe; no curtailment phenomenon expected"
MDV / Maldives,National,STELCO (State Electric Company),https://www.stelco.com.mv/,,not-modelled,none-expected,documented-gap,auth-walled,403,"none",0.0,leave-not-modelled,not-applicable,not-applicable,0.0,"403 forbidden on probe; small-island diesel+solar; no public dispatch data; phenomenon scale negligible"
AFG / Afghanistan,National,DABS (Da Afghanistan Breshna Sherikat),https://main.dabs.af/,,not-modelled,none-expected,documented-gap,no-public-data,200-redirect,"none",0.0,leave-not-modelled,not-applicable,not-applicable,0.0,"Reachable but minimal content; large fraction imported (UZB/TJK/IRN); no dispatch transparency"
