country,subdivision,operator_name,operator_url,region_id_in_project,current_tier,phenomenon,coverage_status,data_format,probe_result,available_anchor,annual_anchor_TWh,recommended_action,recommended_tier_landing,loader_pattern_hint,priority_score,notes,parent_region_id,granularity_available,expected_new_regions
IND,Rajasthan,RSLDC (Rajasthan State Load Despatch Centre / RRVPNL),https://sldc.rajasthan.gov.in/,india-rajasthan,T3,curtailment-renewable,documented-gap,geo-blocked,TLS-cert-error from non-India IP; prior Indian-IP probe (2026-05-09) returned 403 on all paths — login-gated portal,Ember India 2025,3.5,leave-T3,T3,not-applicable,0.0000,Largest solar capacity state (45+ GW pipeline). Portal is login-gated; 403 even from Indian IP per 2026-05-09 probe. No public curtailment endpoint.,,none,0
IND,Gujarat,GSLDC (Gujarat State Load Despatch Centre / GETCO),https://sldc.gujarat.gov.in/,india-gujarat,T3,curtailment-renewable,documented-gap,geo-blocked,403 Forbidden — sldcguj.com probed; sldc.gujarat.gov.in timed out from Indian IP per 2026-05-09 probe,Ember India 2025 / IEEFA Gujarat RE Review 2024,1.0,leave-T3,T3,not-applicable,0.0000,sldcguj.com returns 403; sldc.gujarat.gov.in unreachable even from Indian IPs per prior audit. No public data path.,,none,0
IND,Karnataka,KSLDC (Karnataka State Load Despatch Centre),https://ksldc.in/,india-karnataka,T3,curtailment-renewable,documented-gap,geo-blocked,ECONNREFUSED — ksldc.in; prior Indian-IP probe (2026-05-09): sldcka.in = 200 but login-gated dashboard,POSOCO South Region 2024,0.5,leave-T3,T3,not-applicable,0.0000,ksldc.in ECONNREFUSED; sldcka.in same. Prior Indian-IP probe confirmed 200 but login-wall only; no public data paths.,,none,0
IND,Maharashtra,MSLDC (Maharashtra State Load Despatch Centre),https://www.mahasldc.in/,india-maharashtra,T3,curtailment-renewable,documented-gap,unreachable,TLS-cert-altname-invalid — www.mahasldc.in; msldc.mahavedha.com timed out from Indian IP per 2026-05-09,POSOCO Western Region 2024,0.3,leave-T3,T3,not-applicable,0.0000,TLS cert mismatch blocks probe; prior Indian-IP probe found msldc.mahavedha.com unreachable. No public curtailment data.,,none,0
IND,Tamil Nadu,TNSLDC (Tamil Nadu State Load Despatch Centre / TANTRANSCO),https://tnsldc.com/,india-tamil-nadu,T3,curtailment-renewable,documented-gap,unreachable,ECONNREFUSED — tnsldc.org.in and tnerc.gov.in/sldc/ TLS-cert-error; tnsldc.com timeout from Indian IP per 2026-05-09,POSOCO South Region 2024,1.0,leave-T3,T3,not-applicable,0.0000,Multiple URL variants all unreachable. Prior Indian-IP probe confirmed tnsldc.com timeout. TNERC 2024 order references 249 MW curtailment compensation — PDF-only evidence.,,none,0
IND,Andhra Pradesh,APSLDC (Andhra Pradesh State Load Despatch Centre),https://apsldc.in/,india-andhra-pradesh,T3,curtailment-renewable,documented-gap,unreachable,ECONNREFUSED — apsldc.in; prior Indian-IP probe (2026-05-09) also timeout,POSOCO South Region 2024,0.4,leave-T3,T3,not-applicable,0.0000,apsldc.in ECONNREFUSED from both probe IPs. AP has ~10 GW solar but no public SLDC data surface found.,,none,0
IND,National,Grid-India / NLDC (National Load Despatch Centre),https://grid-india.in/,india-east,T3,curtailment-renewable,unknown,geo-blocked,TLS-cert-error — grid-india.in; posoco.in also TLS-cert-error; NRLDC/SRLDC/WRLDC timeout,POSOCO RE Curtailment Report 2024,2.5,leave-T3,T3,not-applicable,0.0000,Grid-India publishes annual RE curtailment PDFs + daily RLDC reports. TLS cert errors block external probe. PDFs accessible from India. Aggregate India curtailment ~2-4 TWh/yr.,,none,0
BGD,National,PGCB (Power Grid Company of Bangladesh),https://pgcb.gov.bd/,bangladesh,T3,curtailment-renewable,documented-gap,unreachable,TLS unable-to-verify — pgcb.gov.bd; BPDB (bpdb.gov.bd) also TLS-cert-error,IRENA Bangladesh 2024,0.05,leave-T3,T3,not-applicable,0.0000,PGCB is system operator; site TLS errors block probe. SREDA publishes RE stats separately as PDFs. Low absolute curtailment — ~3 GW solar 2024.,,none,0
PAK,National,NTDC / NPCC (National Power Control Centre),https://www.ntdc.gov.pk/,pakistan-wind,T3,curtailment-renewable,documented-gap,unreachable,TLS-cert-error — ntdc.gov.pk; NEPRA nepra.org.pk returns 403,NEPRA State of Industry Report 2024,0.05,leave-T3,T3,not-applicable,0.0000,NTDC site TLS-cert-error; NEPRA 403. NEPRA SOI Report 2024 covers curtailment qualitatively in PDF only. ~1.3 TWh wind generation FY24; small curtailment volume.,,none,0
LKA,National,CEB (Ceylon Electricity Board),https://ceb.lk/,sri-lanka,T3,curtailment-renewable,documented-gap,JS-rendered-SPA,homepage-200 — ceb.lk loads; daily generation data at cebcare.ceb.lk redirected to edlcare.edl.lk (403); no curtailment data published,IRENA Sri Lanka 2024,0.1,leave-T3,T3,not-applicable,0.0000,CEB homepage 200 OK; daily generation section redirects to edlcare.edl.lk which returns 403. No curtailment data published. ~450 MW solar + 300 MW wind; curtailment exists but not disclosed.,,none,0
NPL,National,NEA (Nepal Electricity Authority),https://www.nea.org.np/,nepal,T3,curtailment-renewable,documented-gap,JS-rendered-SPA,homepage-200 — nea.org.np loads; publishes aggregate generation by source but no fuel-type split or curtailment data,World Bank Nepal Development Update 2024,0.5,leave-T3,T3,not-applicable,0.0000,NEA site 200 OK; shows NEA/IPP/import totals but no wind/solar disaggregation or curtailment field. Hydro spillage ~0.5 TWh/yr per WB estimate; no machine-readable feed.,,none,0
