country,subdivision,operator_name,operator_url,region_id_in_project,current_tier,phenomenon,coverage_status,data_format,probe_result,available_anchor,annual_anchor_TWh,recommended_action,recommended_tier_landing,loader_pattern_hint,priority_score,notes,parent_region_id,granularity_available,expected_new_regions
CHN,National,National Energy Administration,https://www.nea.gov.cn/20251113/cc1fb0298a2944f8bd5441f67c9be9b3/c.html,,not-modelled,curtailment-renewable,documented-gap,PDF-only,200 OK: transmittal notice only; data in .doc attachment (404 on direct fetch); no CSV/XLSX/API,NEA 2024 annual monitoring evaluation,0,blocked-document-only,not-applicable,not-applicable,0.0000,Annual evaluation published as Word .doc attachment with hash URL; attachment 404. Quarterly bulletins HTML-only news articles. No machine-readable data exposed.,,none,0
CHN,Xinjiang,Xinjiang State Grid / NEA,https://www.nea.gov.cn/20251113/cc1fb0298a2944f8bd5441f67c9be9b3/c.html,xinjiang,T3,curtailment-renewable,documented-gap,no-public-data,xj.sgcc.com.cn TLS error; nea.gov.cn doc-only; no CSV/XLSX/API found,NEA 2024 bulletin (rate ~5% wind; ~8% solar),18.0,leave-T3,T3,not-applicable,0.0000,Highest-volume curtailment region (~18 TWh/yr combined wind+solar). All provincial SGCC sites unreachable/cert-error. NEA publishes annual rate only in Word doc; no hourly feed.,,none,0
CHN,Inner Mongolia,Inner Mongolia Power Grid / NEA,https://www.nea.gov.cn/20251113/cc1fb0298a2944f8bd5441f67c9be9b3/c.html,inner-mongolia,T3,curtailment-renewable,documented-gap,no-public-data,nm.sgcc.com.cn refused connection; NEA doc only; below-90% utilisation flagged May 2026,NEA 2024 bulletin,14.0,leave-T3,T3,not-applicable,0.0000,Inner Mongolia West flagged below 90% utilisation (wind dominant). NEA quarterly articles name the region but only give rate; no hourly or absolute TWh download.,,none,0
CHN,Gansu,Gansu State Grid / NEA,https://www.nea.gov.cn/20251113/cc1fb0298a2944f8bd5441f67c9be9b3/c.html,gansu-wind,T3,curtailment-renewable,documented-gap,no-public-data,gs.sgcc.com.cn TLS cert error; NEA doc attachment 404; no download found,NEA 2024 bulletin; ChinaEnergyPortal 2016 HTML table,5.0,leave-T3,T3,not-applicable,0.0000,Gansu had 43% wind curtailment in 2016 (ChinaEnergyPortal HTML table - 5-province static page). Improved to ~5% by 2024 per NEA rate. No machine-readable feed found.,,none,0
CHN,Qinghai,Qinghai State Grid / NEA,https://www.nea.gov.cn/20251113/cc1fb0298a2944f8bd5441f67c9be9b3/c.html,qinghai,T3,curtailment-renewable,documented-gap,no-public-data,qh.sgcc.com.cn TLS cert error; NEA doc 404; below-90% utilisation rate flagged in 2025 article,NEA 2024 bulletin,4.0,leave-T3,T3,not-applicable,0.0000,Qinghai solar curtailment rising; flagged below 90% in March 2025 NEA article. All provincial SGCC sites unreachable. No machine-readable download found.,,none,0
CHN,Sichuan,Sichuan State Grid / NEA,https://www.nea.gov.cn/20251113/cc1fb0298a2944f8bd5441f67c9be9b3/c.html,sichuan,T3,curtailment-renewable,documented-gap,no-public-data,sc.sgcc.com.cn socket closed; no data found; NEA word doc only,NEA 2024 bulletin,8.0,leave-T3,T3,not-applicable,0.0000,Sichuan hydro-spill estimated ~8 TWh/yr. sc.sgcc.com.cn socket-closed on probe. No hourly hydro-curtailment data found publicly. NEA annual monitoring Word doc only.,,none,0
CHN,Yunnan,Yunnan State Grid / NEA,https://www.nea.gov.cn/20251113/cc1fb0298a2944f8bd5441f67c9be9b3/c.html,yunnan,T3,curtailment-renewable,documented-gap,no-public-data,yn.sgcc.com.cn refused connection; CSG southern grid 403; NEA doc only,NEA 2024 bulletin,6.0,leave-T3,T3,not-applicable,0.0000,Yunnan hydro-spill ~6 TWh/yr estimated. CSG covers Yunnan but csg.cn returns 403 on data sections. NEA annual monitoring evaluation is Word-doc only attachment.,,none,0
CHN,Shaanxi,NEA Northwest Bureau,http://xbj.nea.gov.cn/,china-shaanxi,T3,curtailment-renewable,documented-gap,no-public-data,xbj.nea.gov.cn: admin page only no data; below-90% utilisation named in May 2026 NEA article,NEA 2024 bulletin,1.1,leave-T3,T3,not-applicable,0.0000,Shaanxi flagged below 90% solar utilisation (March 2025 data cited in NEA article May 2026). Northwest bureau page admin-only. No machine-readable source found.,,none,0
CHN,National (Northwest 5 provinces),China Energy Portal (NEA translation),https://chinaenergyportal.org/2016-northwest-wind-and-pv-output-and-curtailment-statistics/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,200 OK: HTML table with 5-province wind+solar curtailment rates and GWh; data year 2016 only,NEA 2016 Northwest curtailment data,33.0,blocked-document-only,not-applicable,not-applicable,0.0000,ChinaEnergyPortal has a parseable 2016 HTML table (Xinjiang/Gansu/Qinghai/Ningxia/Shaanxi). Single static year; not updated. Useful only as historical cross-check anchor.,,none,0
CHN,National,China Southern Power Grid,https://www.csg.cn/,china-guangdong,T3,curtailment-renewable,documented-gap,no-public-data,csg.cn: 403 on data/info-disclosure paths; no curtailment stats published,NEA 2024 bulletin,3.2,leave-T3,T3,not-applicable,0.0000,CSG covers Guangdong/Yunnan/Guangxi/Guizhou/Hainan. All data-disclosure paths on csg.cn return 403. No machine-readable curtailment data found for southern grid.,,none,0
