country,subdivision,operator_name,operator_url,region_id_in_project,current_tier,phenomenon,coverage_status,data_format,probe_result,available_anchor,annual_anchor_TWh,recommended_action,recommended_tier_landing,loader_pattern_hint,priority_score,notes
Vietnam,,National Power System and Market Operation (NSMO),https://www.nsmo.vn/,vietnam,T2,curtailment-renewable,documented-gap,JS-rendered-SPA,nsmo.vn timed out on probe; site exists but no public dispatch/curtailment API,IEEFA Vietnam Energy Transition 2024 (solar curtailment ~3 TWh),3.0,leave-existing-T1+,not-applicable,not-applicable,0.0,"NSMO spun out of EVN Aug 2024 as independent SO. Investors petitioning for transparent dispatch. Existing T2 'vietnam' covers solar curtailment."
Vietnam,,Vietnam Electricity (EVN),https://www.evn.com.vn/,vietnam,T2,curtailment-renewable,documented-gap,JS-rendered-SPA,homepage lists hydro reservoir levels and grid op summary; no machine-readable feed,EVN Annual Report 2024,3.0,leave-existing-T1+,not-applicable,not-applicable,0.0,"EVN parent (NPC/CPC/SPC distribution arms). Dispatch transferred to NSMO 2024. Severe curtailment Ninh Thuan/Binh Thuan. Cross-ref existing 'vietnam'."
Thailand,,Electricity Generating Authority of Thailand (EGAT),https://www.egat.co.th/home/en/,thailand,T2,curtailment-renewable,documented-gap,parseable-HTML-table,EGAT statistics page lists 6 categories (capacity/generation/fuel/transmission/sales/reservoir); annual not real-time,Ember Asia Data Transparency 2023 (Thailand),0.3,leave-existing-T1+,not-applicable,not-applicable,0.0,"EGAT generation+transmission monopoly; MEA/PEA distribute. EPPO holds national stats (XLSX). Existing T2 'thailand' covers solar curtailment."
Indonesia,,Perusahaan Listrik Negara (PLN),https://web.pln.co.id/,indonesia,T2,curtailment-renewable,documented-gap,JS-rendered-SPA,homepage SPA; no transparency portal; data.go.id has limited PLN datasets,IEA Enhancing Indonesia Power System 2024,0.5,leave-existing-T1+,not-applicable,not-applicable,0.0,"PLN vertically-integrated monopoly across Java-Bali + 600 isolated grids. Sumatra PV curtailment ~14% per studies. Existing T2 'indonesia'."
Malaysia,Peninsular,Tenaga Nasional Berhad (TNB) / Single Buyer (GSO),https://www.tnb.com.my/,malaysia,T2,curtailment-renewable,documented-gap,PDF-only,TNB publishes Daily System Generation Summary in investor section; PDF format,Malaysia Energy Commission ST 2024 Annual Report,0.2,leave-existing-T1+,not-applicable,not-applicable,0.0,"TNB Grid System Operator runs Peninsular dispatch; Single Buyer separate accounting unit. Existing T2 'malaysia'. SEDA tracks RE."
Malaysia,Sarawak,Sarawak Energy Berhad,https://www.sarawakenergy.com/,,not-modelled,curtailment-renewable,documented-gap,PDF-only,site behind 403 on probe; annual+sustainability reports as PDF; hydro dominated,Sarawak Energy Annual Report 2024,0.05,blocked-document-only,not-applicable,not-applicable,0.0,"Sarawak Energy = vertically integrated; 70%+ hydro (Bakun 2400MW Murum 944MW). Spring spill exists not published. Cross-ref 'malaysia'."
Malaysia,Sabah,Sabah Electricity Sdn Bhd (SESB),https://www.sesb.com.my/,,not-modelled,none-expected,documented-gap,unreachable,sesb.com.my timed out on probe,IRENA Renewable Capacity Statistics 2024 Malaysia,0.0,blocked-document-only,not-applicable,not-applicable,0.0,"SESB serves Sabah+Labuan; gas+diesel+small hydro. RE share <10%. No public dispatch data. Cross-ref 'malaysia'."
Philippines,,National Grid Corporation of the Philippines (NGCP),https://www.ngcp.ph/,,not-modelled,curtailment-renewable,documented-gap,PDF-only,homepage 403 on probe; Operations page documents TDP; reports as PDF,NGCP Transmission Development Plan 2025-2050,0.5,introduce-as-T3,T3,not-applicable,0.0,"NGCP system operator; PEMC/IEMOP market operator. NREL studies show solar+wind curtailment <7.6% scenarios. Curtailment growing with offshore-wind pipeline."
Philippines,,Independent Electricity Market Operator of the Philippines (IEMOP / WESM),https://www.iemop.ph/,,not-modelled,curtailment-renewable,published,PDF-only,public dashboard real-time prices+gen-mix; daily reports ZIP+PDF; bulk data via subscription,IEMOP Annual Market Assessment Report 2024,0.5,introduce-as-T3,T3,not-applicable,0.0,"IEMOP operates WESM (Luzon+Visayas; Mindanao integrating). Real-time mix dashboard but bulk historical via paid 'Knowledge Suites'. PEMC governance."
Philippines,,Philippine Electricity Market Corporation (PEMC),https://www.wesm.ph/,,not-modelled,curtailment-renewable,documented-gap,PDF-only,wesm.ph is governance/rules portal; downloads are policy PDFs,PEMC Market Assessment Reports 2024,0.5,introduce-as-T3,T3,not-applicable,0.0,"PEMC = WESM governance body; IEMOP is delegated market operator since 2018. Cross-ref IEMOP row for data."
