country,region_id,tso_name,tso_url,annual_TWh_anchor,source_note_excerpt,coverage_status,data_format,data_url_or_source,has_hourly,has_annual,rate_source,recommended_action,recommended_tier_landing,priority_score,notes
# Phase 1 Data Audit — 2026-04-28
# Branch: research/phase1-data-audit
# Purpose: Audit all T3 static countries to identify data sources for tier elevation
# Methodology: For each country — find TSO, check for published data (annual and/or hourly), assess rate source quality
# Columns: country | region_id | tso_name | tso_url | annual_TWh_anchor | source_note_excerpt | coverage_status | data_format | data_url_or_source | has_hourly | has_annual | rate_source | recommended_action | recommended_tier_landing | priority_score | notes
ALB,albania,Operatori i Sistemit te Transmetimit (OST),https://www.ost.al/,0.05,IRENA Albania 2024 (ERE); OSCE member since 2017; hydro-dominant; ENTSO-E A75 verification pending; no public hourly feed identified,unknown,JS-rendered-SPA,https://www.ost.al/,N,N,not-found,blocked-document-only,T3,1,ENTSO-E member since 2017 but very low VRE share (hydro-dominant); no public hourly curtailment archive identified. VRE share ~2% of generation.
AND,andorra,Forces Electriques d'Andorra (FEDA),https://www.feda.ad/,0.01,IRENA Andorra 2024 (FEDA); hydro+pumped storage; small high-altitude grid,unknown,no-public-data,https://www.feda.ad/,N,N,not-found,blocked-document-only,T3,1,Very small grid (0.01 TWh/yr); import-dependent; no public curtailment data. Priority extremely low.
ARE,UAE (gulf-flare-ghost),not-applicable,not-applicable,0.0,(flare entry — not primary research target),published,no-public-data,GGFR 2024 satellite,n/a,N,not-applicable,leave-existing-T1+,T2-flare,0,Already T2-flare. Not in static list.
DZA,algeria,SONELGAZ / GRTG,https://www.sonelgaz.com.dz/,0.4,IRENA Country Statistics 2024 (Algeria SONELGAZ/OS; small wind+PV ~1.5 GW; no public dispatch data),documented-gap,PDF-only,not-probed,N,N,IRENA capacity-based estimate,blocked-document-only,T3,2,Gas-dominated grid; VRE share growing but <3% of generation; no TSO-specific curtailment anchor found.
ARM,armenia,Armenian National Grid State Company (ANESC),https://www.armenianen.am/,0.1,IRENA Armenia 2024 (TSO); Metsamor nuclear + hydro + solar; WREM,unknown,PDF-only,not-probed,N,Y,IRENA capacity-based estimate,blocked-document-only,T3,2,Metsamor nuclear (~10% of capacity); growing solar; no public curtailment data from ANESC.
AUT,austria,APG (Austrian Power Grid),https://www.apg.at/,0.5,APG Strombilanz 2024 + ENTSO-E redispatch narrative (provisional 0.5 TWh/yr; ENTSO-E A75 extraction pending),documented-gap,PDF-only,https://www.apg.at/en/newsroom/publikationen,partial,Y,APG annual report + redispatch narrative (not machine-readable A75),introduce-as-T2,T2,3,APG acknowledges curtailment in 2024; no machine-readable hourly feed for Austria specifically. Redispatch narrative gives ~0.5 TWh/yr anchor. T2 candidate if annual figure can be extracted from APG report.
AZE,azerbaijan,AZERENERGY,https://azerenergy.gov.az/,0.2,IRENA Azerbaijan 2024 (AZERENERGY); oil+gas+solar; growing RE,unknown,PDF-only,not-probed,N,Y,IRENA capacity-based estimate,blocked-document-only,T3,2,Oil/gas-dominant; growing solar but limited; AZERENERGY publishes annual reports in PDF. T2 candidate if annual figure can be cited from named report.
BDI,burundi,REGIDECO,not-found,0.05,IRENA Burundi 2024 (REGIDECO); hydro+thermal; small grid; NELS,unknown,no-public-data,not-found,N,N,not-found,blocked-document-only,T3,1,Extremely small grid; minimal VRE. Priority very low.
BHR,bahrain,Economic Affairs Ministry / EWA,https://www.ewa.gov.bh/,0.05,IRENA Bahrain 2024 (EWA); gas+solar; small high-temperature grid,unknown,PDF-only,not-probed,N,Y,IRENA capacity-based estimate,blocked-document-only,T3,1,Very small VRE program; curtailment near zero. Priority very low.
BHS,bahamas,Bahamas Power and Light (BPL),not-found,0.01,IRENA Bahamas 2024 (BPL; solar+oil; island grids),unknown,no-public-data,not-found,N,N,not-found,blocked-document-only,T3,1,Small island grids; solar PV programs nascent; negligible curtailment.
BLZ,belize,Belize Electricity Supply Company (BEL),https://belizefirst.com/,0.02,IRENA Belize 2024 (BEL); Herrera hydroelectric + Belize oil + solar,unknown,no-public-data,not-found,N,N,not-found,blocked-document-only,T3,1,Small grid; hydro-dominant; minimal VRE.
BTN,bhutan,Bhutan Power Ministry / Druk Green Power,not-found,0.1,IRENA Bhutan 2024 (DHI/BPC); hydro-dominant; export to India; large projects,unknown,no-public-data,not-found,N,N,not-found,leave-T3,T3,1,Hydro export grid; not curtailment-focused. Priority very low.
BRN,brunei,Agedgd (AEDED),https://www.agedd.gov.bn/,0.01,IRENA Brunei 2024 (AEDED); gas+solar; small high-income grid,unknown,no-public-data,not-found,N,N,not-found,blocked-document-only,T3,1,Small grid; gas-dominant; minimal solar. Priority very low.
BWA,botswana,Botswana Power Corporation (BPC),https://www.bpc.co.bw/,0.05,IRENA Botswana 2024 (BPC); SAPP member; small Mmadinare PV,unknown,PDF-only,not-probed,N,N,IRENA capacity-based estimate,blocked-document-only,T3,1,Small solar program; BPC publishes annual reports in PDF. Priority low.
KHM,cambodia,Electricite du Cambodge (EDC),https://www.edc.com.kh/,0.2,IRENA Cambodia 2024 (EDC); hydro+solar+coal; rapid solar growth,unknown,no-public-data,not-found,N,Y,IRENA capacity-based estimate,blocked-document-only,T3,2,Coal+hydro mix; growing solar; EDC/EDC publishes some annual data. T2 candidate if annual figure can be cited.
CMR,cameroon,Energy Corporation (ENEO),https://www.eneocameroon.cm/,0.1,IRENA Cameroon 2024 (ENEO/SONATREL; mostly hydro; no dispatch portal),unknown,no-public-data,not-found,N,N,not-found,blocked-document-only,T3,2,Hydro-dominant; SONATREL is TSO; no public dispatch portal identified. T2 candidate if annual figure from ENEO report.
CAF,central-african-republic,ENERCA,not-found,0.02,IRENA CAR 2024 (ENERCA); hydro+solar+diesel; post-conflict small grid),unknown,no-public-data,not-found,N,N,not-found,blocked-document-only,T3,1,Post-conflict; minimal VRE; priority very low.
TCD,chad,Societe Tchadienne d'Energie Electrique (STEE),not-found,0.02,IRENA Chad 2024 (STEE); solar+diesel+gas; isolated grid),unknown,no-public-data,not-found,N,N,not-found,blocked-document-only,T3,1,Very small grid; minimal VRE; priority very low.
COM,comoros,Mamwe (MAMWE),not-found,0.01,IRENA Comoros 2024 (MAMWE); solar+diesel; island grid),unknown,no-public-data,not-found,N,N,not-found,blocked-document-only,T3,1,Small island; minimal VRE; priority very low.
