country,subdivision,operator_name,operator_url,region_id_in_project,current_tier,phenomenon,coverage_status,data_format,probe_result,available_anchor,annual_anchor_TWh,recommended_action,recommended_tier_landing,loader_pattern_hint,priority_score,notes
Regional,Southern Africa,Southern African Power Pool (SAPP),https://www.sapp.co.zw/,,not-modelled,none-expected,documented-gap,parseable-HTML-table,homepage-200,SAPP Annual Report 2024,0.0,blocked-document-only,not-applicable,not-applicable,0.0,Power-pool coordinator (12 utilities); publishes day-ahead market HTML but no curtailment metric. Coordinator row.
Regional,West Africa,West African Power Pool (WAPP/EEEOA),https://www.ecowapp.org/,,not-modelled,none-expected,documented-gap,JS-rendered-SPA,homepage-200,WAPP 2024 Annual Report,0.0,blocked-document-only,not-applicable,not-applicable,0.0,ECOWAS power-pool coordinator (14 states); SPA dashboard with no published curtailment series. Coordinator row.
Regional,East Africa,Eastern Africa Power Pool (EAPP),https://eappool.org/,,not-modelled,none-expected,documented-gap,parseable-HTML-table,homepage-200,EAPP Master Plan 2014 (no recent),0.0,blocked-document-only,not-applicable,not-applicable,0.0,EAPP coordinator (12 states); little public operational data. Coordinator row.
Regional,Maghreb,Comite Maghrebin de l'Electricite (COMELEC),http://www.comelec-net.org/,,not-modelled,none-expected,documented-gap,unreachable,homepage-timeout,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,Maghreb coordinator (5 states). Site offline at probe; coordinator role only.
Algeria,,Societe Algerienne de Gestion du Reseau de Transport de l'Electricite (SONELGAZ/OS),https://www.grte.dz/,,not-modelled,curtailment-renewable,unknown,JS-rendered-SPA,homepage-200,IRENA Country Statistics 2024,0.4,introduce-as-T3,T3,not-applicable,0.0,Operateur Systeme; small wind+PV (~1.5GW); no public dispatch data. SPA homepage.
Angola,,Rede Nacional de Transporte de Electricidade (RNT),https://www.rnt.co.ao/,,not-modelled,curtailment-renewable,documented-gap,JS-rendered-SPA,homepage-200,IRENA Angola 2024,0.2,introduce-as-T3,T3,not-applicable,0.0,RNT (transmission) and ENDE (distribution) split since 2016; nascent solar; no operator-published curtailment.
Benin,,Societe Beninoise d'Energie Electrique (SBEE),https://sbee.bj/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,homepage-200,IRENA Benin 2024,0.05,introduce-as-T3,T3,not-applicable,0.0,Imports ~80% from CIE/Nigeria via WAPP; minimal domestic VRE; no operator dispatch portal.
Botswana,,Botswana Power Corporation (BPC),https://www.bpc.bw/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,homepage-200,IRENA Botswana 2024,0.05,introduce-as-T3,T3,not-applicable,0.0,Vertically integrated utility under SAPP; small Mmadinare PV; no published curtailment.
Burkina Faso,,Societe Nationale d'Electricite du Burkina (SONABEL),https://www.sonabel.bf/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,homepage-200,IRENA Burkina Faso 2024,0.1,introduce-as-T3,T3,not-applicable,0.0,Zagtouli + Nagreongo PV ~70MW; SONABEL publishes annual reports only.
Burundi,,Regie de Production et de Distribution d'Eau et d'Electricite (REGIDESO),https://www.regideso.bi/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,homepage-200,IRENA Burundi 2024,0.01,introduce-as-T3,T3,not-applicable,0.0,Predominantly hydro; very low installed capacity; no dispatch data published.
