region_id,name,country,kind,region_tier,confidence_tier,bucket,source_type,published_annual_twh,annual_low_twh,annual_high_twh,annual_value_basis,published_year,include_in_source_verified_floor,include_in_modelled_envelope,manual_review_required,definition_notes,source,source_url,source_note,snapshot_file,validation_doc
aemo-nsw-solar,New South Wales Solar,AUS,solar,live,T1a-live-tso,T1a,direct_constrained_off,,,,needs calendar-year aggregation or source-note validation,2026,no_pending_annual_aggregation,no,no,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,AEMO NEMWeb solar SEMIDISPATCHCAP,https://nemweb.com.au/Reports/Current/Next_Day_Dispatch/,NEMWEB SEMIDISPATCHCAP direct solar curtailment (NSW),aemo.json,docs/validation/aemo-nsw-solar.md
aemo-nsw-wind,New South Wales Wind,AUS,wind,live,T1a-live-tso,T1a,direct_constrained_off,,,,needs calendar-year aggregation or source-note validation,2026,no_pending_annual_aggregation,no,no,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,AEMO NEMWeb wind SEMIDISPATCHCAP,https://nemweb.com.au/Reports/Current/Next_Day_Dispatch/,NEMWEB SEMIDISPATCHCAP direct wind curtailment (NSW),aemo.json,docs/validation/aemo-nsw-wind.md
aemo-qld-solar,Queensland Solar,AUS,solar,live,T1a-live-tso,T1a,direct_constrained_off,,,,needs calendar-year aggregation or source-note validation,2026,no_pending_annual_aggregation,no,no,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,AEMO NEMWeb solar SEMIDISPATCHCAP,https://nemweb.com.au/Reports/Current/Next_Day_Dispatch/,NEMWEB SEMIDISPATCHCAP direct solar curtailment (QLD),aemo.json,docs/validation/aemo-qld-solar.md
aemo-qld-wind,Queensland Wind,AUS,wind,live,T1a-live-tso,T1a,direct_constrained_off,,,,needs calendar-year aggregation or source-note validation,2026,no_pending_annual_aggregation,no,no,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,AEMO NEMWeb wind SEMIDISPATCHCAP,https://nemweb.com.au/Reports/Current/Next_Day_Dispatch/,NEMWEB SEMIDISPATCHCAP direct wind curtailment (QLD),aemo.json,docs/validation/aemo-qld-wind.md
aemo-sa-solar,South Australia Solar,AUS,solar,live,T1a-live-tso,T1a,direct_constrained_off,,,,needs calendar-year aggregation or source-note validation,2026,no_pending_annual_aggregation,no,no,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,AEMO NEMWeb solar SEMIDISPATCHCAP,https://nemweb.com.au/Reports/Current/Next_Day_Dispatch/,NEMWEB SEMIDISPATCHCAP direct solar curtailment (SA),aemo.json,docs/validation/aemo-sa-solar.md
aemo-sa-wind,South Australia Wind,AUS,wind,live,T1a-live-tso,T1a,direct_constrained_off,,,,needs calendar-year aggregation or source-note validation,2026,no_pending_annual_aggregation,no,no,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,AEMO NEMWeb wind SEMIDISPATCHCAP,https://nemweb.com.au/Reports/Current/Next_Day_Dispatch/,NEMWEB SEMIDISPATCHCAP direct wind curtailment (SA),aemo.json,docs/validation/aemo-sa-wind.md
aemo-tas-solar,Tasmania Solar,AUS,solar,live,T1a-live-tso,T1a,direct_constrained_off,,,,needs calendar-year aggregation or source-note validation,2026,no_pending_annual_aggregation,no,no,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,AEMO NEMWeb solar SEMIDISPATCHCAP,https://nemweb.com.au/Reports/Current/Next_Day_Dispatch/,NEMWEB SEMIDISPATCHCAP direct solar curtailment (TAS),aemo.json,docs/validation/aemo-tas-solar.md
aemo-tas-wind,Tasmania Wind,AUS,wind,live,T1a-live-tso,T1a,direct_constrained_off,,,,needs calendar-year aggregation or source-note validation,2026,no_pending_annual_aggregation,no,no,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,AEMO NEMWeb wind SEMIDISPATCHCAP,https://nemweb.com.au/Reports/Current/Next_Day_Dispatch/,NEMWEB SEMIDISPATCHCAP direct wind curtailment (TAS),aemo.json,docs/validation/aemo-tas-wind.md
aemo-vic-solar,Victoria Solar,AUS,solar,live,T1a-live-tso,T1a,direct_constrained_off,,,,needs calendar-year aggregation or source-note validation,2026,no_pending_annual_aggregation,no,no,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,AEMO NEMWeb solar SEMIDISPATCHCAP,https://nemweb.com.au/Reports/Current/Next_Day_Dispatch/,NEMWEB SEMIDISPATCHCAP direct solar curtailment (VIC),aemo.json,docs/validation/aemo-vic-solar.md
aemo-vic-wind,Victoria Wind,AUS,wind,live,T1a-live-tso,T1a,direct_constrained_off,,,,needs calendar-year aggregation or source-note validation,2026,no_pending_annual_aggregation,no,no,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,AEMO NEMWeb wind SEMIDISPATCHCAP,https://nemweb.com.au/Reports/Current/Next_Day_Dispatch/,NEMWEB SEMIDISPATCHCAP direct wind curtailment (VIC),aemo.json,docs/validation/aemo-vic-wind.md
afghanistan,Afghanistan,AFG,solar,static,,unknown,no_emitted_snapshot,,,,no emitted snapshot row,2025,no_missing_snapshot,no,no,,IRENA RCS 2025 / DABS (~150 MW solar capacity),https://www.irena.org/Data/Downloads/IRENASTAT,,,docs/validation/afghanistan.md
albania,Albania,ALB,solar,static,,unknown,no_emitted_snapshot,,,,no emitted snapshot row,2024,no_missing_snapshot,no,no,,IRENA RE Statistics 2024 (~240 MW solar capacity: Karavasta 140 MW + Spitalla 100 MW); wind negligible; modelled curtailment ~2% per regional default,https://www.irena.org/Data/Energy-Profiles,,,docs/validation/albania.md
alberta-solar,Alberta Solar,CAN,solar,live,T1a-live-tso,T1a,generation_or_feed_x_rate,,,,needs calendar-year aggregation or source-note validation,2026,no_pending_annual_aggregation,no,no,generation/feed multiplied by citable or assumed curtailment rate; check source scope,AESO solar snapshot,http://ets.aeso.ca/ets_web/ip/Market/Reports/CSDReportServlet,"AESO solar snapshot × 5% curtailment proxy, shaped around Alberta local noon and zero overnight (snapshot May 04, 2026 16:08)",alberta.json,docs/validation/alberta-solar.md
alberta-wind,Alberta Wind,CAN,wind,live,T1a-live-tso,T1a,generation_or_feed_x_rate,,,,needs calendar-year aggregation or source-note validation,2026,no_pending_annual_aggregation,no,no,generation/feed multiplied by citable or assumed curtailment rate; check source scope,AESO wind snapshot,http://ets.aeso.ca/ets_web/ip/Market/Reports/CSDReportServlet,"AESO wind snapshot × 5% curtailment proxy (snapshot May 04, 2026 16:08)",alberta.json,docs/validation/alberta-wind.md
algeria,Algeria,DZA,solar,static,,unknown,no_emitted_snapshot,,,,no emitted snapshot row,2024,no_missing_snapshot,no,no,,"IRENA Country Statistics 2024 (Algeria SONELGAZ/OS, ~1.5 GW wind+PV)",https://www.grte.dz/,,,docs/validation/algeria.md
andorra,Andorra,AND,hydro,static,,unknown,no_emitted_snapshot,,,,no emitted snapshot row,2025,no_missing_snapshot,no,no,,IRENA RCS 2025 / FEDA (Alpine hydro + pumped storage; near-zero VRE),https://www.irena.org/Data/Downloads/IRENASTAT,,,docs/validation/andorra.md
angola,Angola,AGO,solar,static,,unknown,no_emitted_snapshot,,,,no emitted snapshot row,2024,no_missing_snapshot,no,no,,IRENA Angola 2024 (RNT transmission; nascent solar),https://www.rnt.co.ao/,,,docs/validation/angola.md
antigua-and-barbuda,Antigua & Barbuda,ATG,solar,static,,unknown,no_emitted_snapshot,,,,no emitted snapshot row,2025,no_missing_snapshot,no,no,,IRENA RCS 2025 / APUA (~10 MW PV + diesel; island grid),https://www.irena.org/Data/Downloads/IRENASTAT,,,docs/validation/antigua-and-barbuda.md
argentina,Argentina,ARG,wind,static,T3-modelled,T3,modelled_or_fallback,0.500000,0.300000,0.700000,modelled annual central encoded in static/typical snapshot,2024,no_modelled_envelope_only,yes,no,annual/modelled central value mapped to typical profile; not measured hourly curtailment,CAMMESA / IRENA fallback,https://cammesaweb.cammesa.com/,Typical-shape fallback: CAMMESA daily generation open data unreachable/not machine-readable (fetch failed); Patagonia wind curtailment scaled to ~0.5 TWh/yr.,argentina.json,docs/validation/argentina.md
armenia,Armenia,ARM,solar,static,,unknown,no_emitted_snapshot,,,,no emitted snapshot row,2024,no_missing_snapshot,no,no,,"IRENA RE Statistics 2024 (~180 MW solar capacity, growing post-2020); modelled curtailment ~2% per regional default",https://www.irena.org/Data/Energy-Profiles,,,docs/validation/armenia.md
atacama,Atacama,CHL,solar,live,T1a-live-tso,T1a,direct_operator_workbook,,,,needs calendar-year aggregation or source-note validation,2026,no_pending_annual_aggregation,no,no,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,CEN Chile XLSX,https://www.coordinador.cl/operacion/documentos/reducciones-de-generacion-renovable/,Coordinador Chile daily Resumen Ejecutivo solar reductions (30 daily PDFs through 2026-05-03) apportioned with measured monthly XLSX hourly shape from https://www.coordinador.cl/wp-content/uploads/2026/03/Reducciones-de-Energia-Eolica-Solar-Hidro-en-el-SEN_Febrero-26-PE-PFV_Publicar.xlsx; latest daily PDF https://www.coordinador.cl/wp-content/uploads/2026/05/Resumen-Ejecutivo-de-Operacion-03-05-2026-V1.pdf,atacama-chile.json,docs/validation/atacama.md
austria,Austria,AUT,mixed,static,,unknown,no_emitted_snapshot,,,,no emitted snapshot row,2024,no_missing_snapshot,no,no,,APG Strombilanz 2024 + ENTSO-E redispatch A75 (provisional anchor),https://www.apg.at/en/news-press/apg-strombilanz-2024-oesterreich-erstmals-wieder-exportland/,,,docs/validation/austria.md
