country,subdivision,operator_name,operator_url,region_id_in_project,current_tier,phenomenon,coverage_status,data_format,probe_result,available_anchor,annual_anchor_TWh,recommended_action,recommended_tier_landing,loader_pattern_hint,priority_score,notes
GBR,Scotland,National Energy System Operator (NESO) / Elexon BMRS,https://www.neso.energy/data-portal/monthly-operational-metered-wind-output,gb-scotland,T1a,curtailment-renewable,published,JSON-API,not-probed,"Elexon BMRS 2024 GB constraint payments ~11 TWh/yr (NESO Markets Roadmap 2024); Scotland share ~70%",7.7,leave-existing-T1+,not-applicable,not-applicable,0.0,Cross-ref: covered in europe-entsoe Task 7 dispatch as canonical home; UK is non-EU/non-ENTSO-E observer post-Brexit but retains GB BMRS.
GBR,England+Wales,National Energy System Operator (NESO) / Elexon BMRS,https://www.elexon.co.uk/data/,gb-england-wales,T1a,curtailment-renewable,published,JSON-API,not-probed,"Elexon BMRS 2024 GB constraint payments ~11 TWh/yr (NESO Markets Roadmap 2024); E+W share ~30%",3.3,leave-existing-T1+,not-applicable,not-applicable,0.0,Cross-ref: covered in europe-entsoe Task 7 dispatch as canonical home.
CHE,,Swissgrid,https://www.swissgrid.ch/en/home/operation/grid-data.html,switzerland,T1c,curtailment-renewable,published,XML-feed,not-probed,"ENTSO-E Swissgrid 2024 PV curtailment (rate calibrated from Czech CEPS)",0.3,leave-existing-T1+,not-applicable,not-applicable,0.0,"Cross-ref: covered in europe-entsoe Task 7 (CH is ENTSO-E observer, no CACM agreement); existing T1c live-neighbour-anchored."
ISL,,Landsnet,https://www.landsnet.is/,iceland,T2,curtailment-renewable,documented-gap,no-public-data,not-probed,"Orkustofnun 2024 annual curtailment ~0 TWh (load-following hydro+geothermal, reservoir-buffered)",0.0,leave-existing-T1+,not-applicable,not-applicable,0.0,Existing T2 region. Landsnet publishes generation aggregates but no hourly curtailment archive; structural near-zero anchor.
ALB,,Operatori i Sistemit te Transmetimit (OST),https://www.ost.al/,,not-modelled,curtailment-renewable,unknown,JS-rendered-SPA,not-probed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,Albania ENTSO-E member since 2017 but very low VRE share (hydro-dominant); no public hourly curtailment archive identified.
MKD,,Operator na Elektroprenosniot Sistem na Makedonija (MEPSO),https://www.mepso.com.mk/,,not-modelled,curtailment-renewable,unknown,PDF-only,not-probed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,North Macedonia TSO. ENTSO-E member; small system; annual reports as PDF; no hourly curtailment series found.
BIH,,Nezavisni Operator Sistema u Bosni i Hercegovini (NOS BiH),https://www.nosbih.ba/,,not-modelled,curtailment-renewable,unknown,PDF-only,not-probed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,Bosnia and Herzegovina TSO. ENTSO-E member; publishes annual reports in PDF; no public hourly RES curtailment archive.
SRB,,Elektromreza Srbije (EMS AD),https://www.ems.rs/,,not-modelled,curtailment-renewable,unknown,parseable-HTML-table,not-probed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,Serbia TSO. ENTSO-E member; publishes daily/monthly operational reports but no curtailment-specific anchor identified.
MNE,,Crnogorski Elektroprenosni Sistem (CGES),https://www.cges.me/,,not-modelled,curtailment-renewable,unknown,PDF-only,not-probed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,Montenegro TSO. ENTSO-E member; small system (~3 TWh/yr load); no public RES curtailment archive.
XKX,,Kosovo Transmission System and Market Operator (KOSTT),https://www.kostt.com/,,not-modelled,curtailment-renewable,unknown,PDF-only,not-probed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,Kosovo TSO. ENTSO-E member since 2020 (own control area); coal-dominant; minimal VRE; no curtailment archive.
MDA,,Moldelectrica,https://moldelectrica.md/,,not-modelled,curtailment-renewable,unknown,PDF-only,not-probed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,Moldova TSO. Synchronised with ENTSO-E CE since 2022 (war emergency); no public hourly curtailment data.
UKR,,NPC Ukrenergo,https://ua.energy/,ukraine,T2,curtailment-renewable,published,PDF-only,not-probed,"Ember 2024 Ukraine ~0.4 TWh solar curtailment (ENTSO-E absent post-war)",0.4,leave-existing-T1+,not-applicable,not-applicable,0.0,"Existing T2 region. Ukrenergo synchronised with ENTSO-E CE Mar 2022 but transparency platform reporting suspended; Ember anchor in use."
BLR,,Belenergo (GPO Belenergo),https://www.energo.by/,,not-modelled,curtailment-renewable,unknown,no-public-data,not-probed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,"Belarus state energy concern. Sanctioned, BRELL ring exit 2025; no public hourly archive; geo-blocking risk for some sub-pages."
RUS,European zone (UES Centre+NW+South+Volga+Urals),System Operator of the Unified Energy System (SO UPS) - European,https://www.so-ups.ru/,russia-mainland,T2,curtailment-renewable,documented-gap,JS-rendered-SPA,not-probed,"SO UPS no public data post-2022; structural gap (regions.ts russia-mainland)",0.0,leave-existing-T1+,not-applicable,not-applicable,0.0,Existing T2 russia-mainland region. SO UPS site partially geo-restricts and removed many transparency feeds post-2022.
RUS,Murmansk (Kola Peninsula),SO UPS - Kola wind dispatch,https://www.so-ups.ru/functioning/markets/surveys/renewable/2024/,russia-murmansk-wind,T2,curtailment-renewable,published,PDF-only,not-probed,"SO UPS 2024 monthly DPM VIE reports (Kola wind dispatch limits 84 MW Sep 2024)",0.05,leave-existing-T1+,not-applicable,not-applicable,0.0,Existing T2 narrow-source upgrade region. SO UPS DPM VIE monthly PDFs cite explicit wind output caps.
RUS,Siberia (UES Siberia IPS),SO UPS - Siberia,https://www.so-ups.ru/,,not-modelled,curtailment-renewable,unknown,JS-rendered-SPA,not-probed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,Siberian IPS hydro-dominant (Bratsk/Krasnoyarsk/Sayano); spring-spill expected but SO UPS does not publish granular curtailment.
RUS,Far East (UES East),SO UPS - East,https://www.so-ups.ru/,,not-modelled,curtailment-renewable,unknown,JS-rendered-SPA,not-probed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,Russian Far East IPS isolated from UES until 2019; hydro+coal; no public RES curtailment archive.
RUS,Kaliningrad,SO UPS - Kaliningrad,https://www.so-ups.ru/,,not-modelled,curtailment-renewable,unknown,no-public-data,not-probed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,Kaliningrad islanded from BRELL since Feb 2025 (post-Baltic-states exit); gas-dominant; no public RES curtailment data.
RUS,Yamal-Nenets,Yamal-Nenets gas flaring (operator: Gazprom/Novatek; system: SO UPS Tyumen),https://www.so-ups.ru/,,not-modelled,flare-associated-gas,published,no-public-data,not-probed,"GGFR 2024 Yamal-Nenets flaring (subset of West Siberia ~15 Bcm)",10.0,introduce-as-T3,T3,not-applicable,0.0,"GGFR satellite flare estimate; Yamal-Nenets autonomous okrug. Could be split-out of w-siberia. No operator-direct data; GGFR-only."
