country,subdivision,operator_name,operator_url,region_id_in_project,current_tier,phenomenon,coverage_status,data_format,probe_result,available_anchor,annual_anchor_TWh,recommended_action,recommended_tier_landing,loader_pattern_hint,priority_score,notes,parent_region_id,granularity_available,expected_new_regions
CAN,Ontario,IESO GenOutputCapabilityMonth,https://reports-public.ieso.ca/public/GenOutputCapabilityMonth/,ontario-wind,T1a,curtailment-renewable,published,CSV-download,200 CSV; per-plant FuelType+AvailableCapacity+Output+Forecast cols confirmed,IESO Annual Market Report,0.8,leave-existing-T1+,not-applicable,not-applicable,0.0000,Monthly CSV per plant: Generator/FuelType/AvailableCapacity/Output all 24h. WIND+SOLAR plants confirmed. Curtailment = AvailCap-Output per plant-hour. Split into 50+ wind+solar plants feasible.,ontario-wind,plant,50
CAN,Ontario,IESO GenOutputCapabilityMonth,https://reports-public.ieso.ca/public/GenOutputCapabilityMonth/,ontario-solar,T1a,curtailment-renewable,published,CSV-download,200 CSV; SOLAR FuelType with AvailableCapacity and Output per plant confirmed,IESO Annual Market Report,0.3,leave-existing-T1+,not-applicable,not-applicable,0.0000,Same monthly CSV covers SOLAR generators with AvailableCapacity/Output. Plant-level solar curtailment computable. Shares same file as ontario-wind split.,ontario-solar,plant,30
USA,Southeast,Southern Company (SOCO),https://www.eia.gov/opendata/browser/electricity/rto/fuel-type-data,,"not-modelled",curtailment-renewable,published,JSON-API,200 JSON; SOCO confirmed valid EIA-930 respondent with fuel-type data,EIA-930 Form data,0.2,introduce-as-T1,T1b,not-applicable,0.0000,SOCO covers Georgia+Alabama+Mississippi+Florida panhandle. EIA-930 JSON-API confirmed. Solar growing fast; SOCO curtailment data not yet modelled.,,none,2
USA,Arizona,Arizona Public Service (AZPS),https://www.eia.gov/opendata/browser/electricity/rto/fuel-type-data,,"not-modelled",curtailment-renewable,published,JSON-API,200 JSON; AZPS confirmed valid EIA-930 respondent with fuel-type data,EIA-930 Form data,0.15,introduce-as-T1,T1b,not-applicable,0.0000,APS serves most of Arizona. EIA-930 per-fuel JSON confirmed. Growing solar+wind; state RPS driving curtailment. Not yet modelled.,,none,2
USA,Arizona,Salt River Project (SRP),https://www.eia.gov/opendata/browser/electricity/rto/fuel-type-data,,"not-modelled",curtailment-renewable,published,JSON-API,200 JSON; SRP confirmed valid EIA-930 respondent with fuel-type data,EIA-930 Form data,0.1,introduce-as-T1,T1b,not-applicable,0.0000,SRP covers Phoenix metro area. Confirmed valid EIA-930 BA. Growing solar capacity; curtailment expected as penetration rises.,,none,2
USA,Arizona,Tucson Electric Power (TEPC),https://www.eia.gov/opendata/browser/electricity/rto/fuel-type-data,,"not-modelled",curtailment-renewable,published,JSON-API,200 JSON; TEPC confirmed valid EIA-930 respondent with fuel-type data,EIA-930 Form data,0.08,introduce-as-T1,T1b,not-applicable,0.0000,TEP serves Tucson area. Smaller BA but confirmed EIA-930 respondent. Solar curtailment data accessible via same JSON-API pattern.,,none,2
USA,Colorado,Public Service Colorado (PSCO),https://www.eia.gov/opendata/browser/electricity/rto/fuel-type-data,,"not-modelled",curtailment-renewable,published,JSON-API,200 JSON; PSCO confirmed valid EIA-930 respondent with fuel-type data,EIA-930 Form data,0.15,introduce-as-T1,T1b,not-applicable,0.0000,Xcel Energy Colorado BA. EIA-930 confirmed. Significant wind+solar in eastern CO plains; growing curtailment expected.,,none,2
USA,Mountain West,Western Area Power Admin - Lower Colorado (WALC),https://www.eia.gov/opendata/browser/electricity/rto/fuel-type-data,,"not-modelled",curtailment-renewable,published,JSON-API,200 JSON; WALC confirmed valid EIA-930 respondent with fuel-type data,EIA-930 Form data,0.05,introduce-as-T3,T3,not-applicable,0.0000,WAPA Lower Colorado hydro BA. EIA-930 confirmed. Primarily hydro; small solar curtailment possible but likely low.,,none,1
USA,Mountain West,Western Area Power Admin - Upper Missouri (WAUW),https://www.eia.gov/opendata/browser/electricity/rto/fuel-type-data,,"not-modelled",curtailment-renewable,published,JSON-API,200 JSON; WAUW confirmed valid EIA-930 respondent with fuel-type data,EIA-930 Form data,0.05,introduce-as-T3,T3,not-applicable,0.0000,WAPA Upper Missouri-Western Nebraska BA. EIA-930 confirmed. Hydro-dominated; wind curtailment possible in NE/WY portions.,,none,1
USA,Pacific Northwest,PacifiCorp West (PACW),https://www.eia.gov/opendata/browser/electricity/rto/fuel-type-data,,"not-modelled",curtailment-renewable,published,JSON-API,200 JSON; PACW confirmed valid EIA-930 respondent with fuel-type data,EIA-930 Form data,0.2,introduce-as-T1,T1b,not-applicable,0.0000,PacifiCorp West serves OR/WA/CA portions. EIA-930 JSON confirmed. Wind curtailment in OR+WA corridors; distinct from BPA geography.,,none,2
USA,Intermountain West,PacifiCorp East (PACE),https://www.eia.gov/opendata/browser/electricity/rto/fuel-type-data,,"not-modelled",curtailment-renewable,published,JSON-API,200 JSON; PACE confirmed valid EIA-930 respondent with fuel-type data,EIA-930 Form data,0.15,introduce-as-T1,T1b,not-applicable,0.0000,PacifiCorp East covers UT/WY/ID/MT. EIA-930 confirmed. WY wind curtailment documented in FERC compliance filings. Not yet modelled.,,none,2
USA,Intermountain West,Idaho Power (IPCO),https://www.eia.gov/opendata/browser/electricity/rto/fuel-type-data,,"not-modelled",curtailment-renewable,published,JSON-API,200 JSON; IPCO confirmed valid EIA-930 respondent with fuel-type data,EIA-930 Form data,0.1,introduce-as-T1,T1b,not-applicable,0.0000,Idaho Power BA covers southern ID+eastern OR. EIA-930 confirmed. Growing solar; hydro-constrained grid may force solar curtailment.,,none,2
USA,Mountain West,Xcel WACM (Western Area Colorado-Missouri),https://www.eia.gov/opendata/browser/electricity/rto/fuel-type-data,,"not-modelled",curtailment-renewable,published,JSON-API,200 JSON; WACM confirmed valid EIA-930 respondent with fuel-type data,EIA-930 Form data,0.1,introduce-as-T1,T1b,not-applicable,0.0000,WACM is Xcel Energy's Colorado+New Mexico service area west of SPP. EIA-930 confirmed. Overlaps CO wind belt; complements PSCO.,,none,2
CAN,British Columbia,BC Hydro,https://www.bchydro.com/energy-in-bc/operations/transmission/transmission-system/balancing-authority-load-data.html,british-columbia,T3,curtailment-renewable,documented-gap,XLSX-table,200 HTML; XLS/XLSX load data only; no per-fuel generation or curtailment feed,BC Hydro Annual Report,0.0,leave-T3,T3,not-applicable,0.0000,BC Hydro publishes transmission load XLS only. No generation mix by fuel or curtailment API. Hydro-dominated; wind curtailment possible but no data. Estimated tier appropriate.,,none,0
CAN,Quebec,Hydro-Quebec,https://www.hydroquebec.com/transenergie/en/,quebec,T3,curtailment-renewable,documented-gap,JS-rendered-SPA,302 redirect to error page; open data portal exists but only 2 non-generation datasets,Hydro-Quebec Annual Report,0.0,leave-T3,T3,not-applicable,0.0000,HQ open data portal has 27 datasets; none cover hourly generation by source or curtailment. Real-time grid display exists but no machine-readable feed found.,,none,0
CAN,Manitoba,Manitoba Hydro,https://www.hydro.mb.ca/,manitoba,T3,curtailment-renewable,unknown,unreachable,404 on statistics page; energy_statistics URL not found,Ember 2024,0.0,leave-not-modelled,not-applicable,not-applicable,0.0000,Manitoba Hydro statistics pages return 404. No machine-readable generation or curtailment data found. Hydro-dominated; small wind fleet (~600 MW).,,none,0
CAN,Saskatchewan,SaskPower,https://www.saskpower.com/about-us/our-company/current-reports,saskatchewan,T3,curtailment-renewable,documented-gap,no-public-data,200 HTML; only financial/governance reports; no generation mix or curtailment data,SaskPower Annual Report,0.0,leave-T3,T3,not-applicable,0.0000,SaskPower publishes only financial+governance reports publicly. No generation by fuel or curtailment data. No open data portal found.,,none,0
USA,Southeast,Tennessee Valley Authority (TVA),https://www.tva.com/about-tva/our-power-system/generation,tva,T3,curtailment-renewable,documented-gap,JS-rendered-SPA,403 Forbidden on all generation pages; EIA-930 TVA respondent confirmed via API,Ember 2024,0.05,promote-to-T1,T1b,not-applicable,0.0000,TVA website blocks WebFetch (403). EIA-930 confirms TVA as valid BA with fuel-type data. Move to T1b via EIA JSON-API same as SOCO pattern.,,none,0
USA,Florida,Florida Power & Light / FRCC,https://www.eia.gov/opendata/browser/electricity/rto/fuel-type-data,florida,T3,curtailment-renewable,documented-gap,JSON-API,200 JSON; EIA FLA respondent exists but FRCC/FPL has no published curtailment rate,Ember 2024,0.5,promote-to-T1,T1b,not-applicable,0.0000,EIA-930 FLA code confirmed. No curtailment rate published by FRCC or FPL. 10 GW+ solar by 2025; curtailment likely growing. Needs anchor verification before T1.,,none,0
