country,subdivision,operator_name,operator_url,region_id_in_project,current_tier,phenomenon,coverage_status,data_format,probe_result,available_anchor,annual_anchor_TWh,recommended_action,recommended_tier_landing,loader_pattern_hint,priority_score,notes
MEX / Mexico,,CENACE (Centro Nacional de Control de Energia),https://www.cenace.gob.mx/,mexico,T3,curtailment-renewable,published,CSV-download,200 / text/html,CENACE Informe Anual MEM 2024 (operations XLSX/CSV exports per balancing area),3.0,promote-to-T1,T1a,Pattern-A,0.0,"Solar curtailment in Sonora/Baja Sur reported in CENACE PML and dispatch reports; static fallback already at 3 TWh."
MEX / Mexico,,CFE (Comision Federal de Electricidad),https://www.cfe.mx/,,not-modelled,curtailment-renewable,documented-gap,JS-rendered-SPA,200 / text/html,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,"Distribution utility; system operator role transferred to CENACE in 2014. Operational anchor for Mexico held under CENACE row."
BLZ / Belize,,Belize Electricity Limited (BEL),https://www.bel.com.bz/,,not-modelled,none-expected,documented-gap,parseable-HTML-table,200 / text/html,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,"Small island grid (~600 MW peak); minimal VRE; no curtailment anchor published. Imports from Mexico CFE dominate."
GTM / Guatemala,,AMM (Administrador del Mercado Mayorista),https://www.amm.org.gt/,,not-modelled,none-expected,unknown,parseable-HTML-table,200 / text/html (WordPress),IRENA Renewable Energy Statistics 2024 (Guatemala VRE share),0.4,introduce-as-T3,T3,not-applicable,0.0,"AMM publishes Plan Operativo + Resultados de la Operacion via WordPress portal; data is mostly PDF/HTML reports."
GTM / Guatemala,,"ETCEE (transmission, INDE subsidiary)",https://www.inde.gob.gt/,,not-modelled,none-expected,documented-gap,parseable-HTML-table,200 / text/html,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,"Transmission only; market dispatch handled by AMM. No separate curtailment publication."
SLV / El Salvador,,UT (Unidad de Transacciones),https://www.ut.com.sv/,,not-modelled,none-expected,unknown,unreachable,404 on root probe,IRENA Renewable Energy Statistics 2024 (El Salvador VRE share),0.2,introduce-as-T3,T3,not-applicable,0.0,"Probe returned 404 on root; UT publishes daily operation reports historically as PDF. Solar curtailment minor."
HND / Honduras,,ENEE (Empresa Nacional de Energia Electrica) / ODS,https://ods.org.hn/,honduras,T3,curtailment-renewable,documented-gap,PDF-only,unprobed,IRENA / project static (1.0 TWh proxy for solar curtailment),1.0,leave-T3,T3,not-applicable,0.0,"Existing project T3 region. ODS (Operador del Sistema) publishes monthly statistical reports as PDF. Solar curtailment cited 2019-2021."
NIC / Nicaragua,,CNDC / ENATREL,https://www.enatrel.gob.ni/,,not-modelled,none-expected,documented-gap,parseable-HTML-table,unprobed,IRENA Nicaragua VRE statistics 2024,0.1,introduce-as-T3,T3,not-applicable,0.0,"CNDC sits inside ENATREL; publishes weekly bulletins as PDF on transmission ops. Geothermal+wind ~25% mix; no curtailment anchor."
CRI / Costa Rica,,ICE / CENCE (Centro Nacional de Control de Energia),https://www.grupoice.com/,,not-modelled,none-expected,documented-gap,parseable-HTML-table,200 / text/html (WebSphere Portal),IRENA Costa Rica 2024 (98% renewable; hydro spill not published),0.3,introduce-as-T3,T3,not-applicable,0.0,"CENCE inside ICE; portal is server-rendered IBM WebSphere. Hydro spill documented but not anchored. Different from Mexico CENACE."
PAN / Panama,,ETESA / CND (Centro Nacional de Despacho),https://www.etesa.com.pa/,,not-modelled,none-expected,unknown,unreachable,SSL cert verification failed,Secretaria Nacional de Energia 2024 (solar+wind ~10%),0.2,introduce-as-T3,T3,not-applicable,0.0,"ETESA SSL cert issue on probe; CND publishes Informe de Operacion daily as PDF. No public hourly feed."
GTM / Guatemala,SIEPAC,EOR (Ente Operador Regional),https://www.enteoperador.org/,,not-modelled,none-expected,documented-gap,parseable-HTML-table,unprobed,IRENA Central America Interconnect 2024,0.1,introduce-as-T3,T3,not-applicable,0.0,"Central American Interconnect coordinator (SIEPAC). Publishes monthly Informe de Operacion Regional as PDF."
CUB / Cuba,,UNE (Union Electrica de Cuba),https://www.une.cu/,,not-modelled,none-expected,documented-gap,parseable-HTML-table,unprobed,Ember Cuba Electricity Review 2024 (limited data),0.1,introduce-as-T3,T3,not-applicable,0.0,"State utility; minimal VRE; chronic supply shortage. No public dispatch data. Ember has aggregated annual estimate."
DOM / Dominican Republic,,OC (Organismo Coordinador del SENI),https://www.oc.org.do/,,not-modelled,curtailment-renewable,unknown,parseable-HTML-table,200 / text/html,"IRENA Dominican Republic 2024 + OC Reportes (1.0 TWh solar+wind, no explicit curtailment anchor)",0.5,introduce-as-T3,T3,not-applicable,0.0,"OC publishes daily/monthly Reportes de Operacion (Informes section). Wind+solar ~10% of generation 2024; some curtailment reported in PDF reports."
DOM / Dominican Republic,,ETED (Empresa de Transmision Electrica Dominicana),https://www.eted.gov.do/,,not-modelled,none-expected,documented-gap,parseable-HTML-table,unprobed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,"Transmission only; dispatch is OC's role. ETED publishes only corporate info."
HTI / Haiti,,EDH (Electricite d'Haiti),https://edh.ht/,,not-modelled,none-expected,documented-gap,unreachable,unprobed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,"Severely degraded grid; no public operations portal; ~30% electrification. World Bank reports 2024."
JAM / Jamaica,,JPS (Jamaica Public Service Company),https://www.jpsco.com/,,not-modelled,none-expected,documented-gap,parseable-HTML-table,200 / text/html,Office of Utilities Regulation Jamaica Annual Report 2024,0.2,introduce-as-T3,T3,not-applicable,0.0,"Vertically integrated utility; OUR Jamaica regulator publishes annual energy mix. Wigton wind farm + Content solar."
TTO / Trinidad and Tobago,,T&TEC (Trinidad & Tobago Electricity Commission),https://ttec.co.tt/,,not-modelled,flare-associated-gas,documented-gap,parseable-HTML-table,unprobed,GGFR 2024 (Trinidad offshore flares ~1 BCM),0.3,introduce-as-T3,T3,not-applicable,0.0,"Power side has minimal VRE. Flare phenomenon belongs to upstream oil/gas, not T&TEC. Could be tracked separately under GGFR."
BHS / Bahamas,,BPL (Bahamas Power and Light),https://www.bpl.com.bs/,,not-modelled,none-expected,documented-gap,parseable-HTML-table,unprobed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,"Diesel-dominated island grid; minimal VRE. No public dispatch feed."
BRB / Barbados,,BLPC (Barbados Light & Power Company),https://www.blpc.com.bb/,,not-modelled,none-expected,documented-gap,parseable-HTML-table,unprobed,IRENA Barbados Renewables 2024 (rooftop PV penetration),0.05,introduce-as-T3,T3,not-applicable,0.0,"Investor-owned (Emera). Rising rooftop PV; FRCS Caribbean reports occasional inverter trips. No anchored hourly feed."
ATG / Antigua & Barbuda,,APUA (Antigua Public Utilities Authority),https://www.apua.ag/,,not-modelled,none-expected,documented-gap,parseable-HTML-table,unprobed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,"Small island utility; diesel-dominant. No public dispatch data."
LCA / Saint Lucia,,LUCELEC (St. Lucia Electricity Services),https://www.lucelec.com/,,not-modelled,none-expected,documented-gap,parseable-HTML-table,unprobed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,"Small island utility; diesel-dominant; small solar adds. No public dispatch."
GRD / Grenada,,GRENLEC (Grenada Electricity Services),https://www.grenlec.com/,,not-modelled,none-expected,documented-gap,parseable-HTML-table,unprobed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,"Small island utility; diesel-dominant. No public dispatch data."
VCT / Saint Vincent and the Grenadines,,VINLEC (St. Vincent Electricity Services),https://www.vinlec.com/,,not-modelled,none-expected,documented-gap,parseable-HTML-table,unprobed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,"Small island utility; mostly diesel + 5 MW hydro. No public dispatch data."
