country,subdivision,operator_name,operator_url,region_id_in_project,current_tier,phenomenon,coverage_status,data_format,probe_result,available_anchor,annual_anchor_TWh,recommended_action,recommended_tier_landing,loader_pattern_hint,priority_score,notes,parent_region_id,granularity_available,expected_new_regions
PHL,,IEMOP (Independent Market Operator of the WESM),https://www.iemop.ph/market-data/,philippines-solar,T3,curtailment-renewable,documented-gap,JS-rendered-SPA,200 OK homepage; market data portal lists PSM Constrained-on Generators under Other Data; actual file list is JS-rendered and not extractable via WebFetch,IEMOP WESM Market Data,0.5,leave-T3,T3,not-applicable,0.0000,PSM Constrained-on Generators section confirmed present but JS-rendered SPA blocks file inventory. No VRE-specific curtailment CSV confirmed yet.,,none,0
PHL,,IEMOP (Independent Market Operator of the WESM),https://www.iemop.ph/market-data/,philippines-wind,T3,curtailment-renewable,documented-gap,JS-rendered-SPA,200 OK homepage; VRE Forecast Performance monthly reports listed but content is JS-rendered; no downloadable CSV or ZIP confirmed,IEMOP WESM Market Data,0.15,leave-T3,T3,not-applicable,0.0000,VRE Forecast Performance reports listed (monthly) but SPA blocks content. Constrained-on Generators archive also present but inaccessible via WebFetch.,,none,0
PHL,,IEMOP (Independent Market Operator of the WESM),https://www.iemop.ph/market-information/market-reports/,philippines-solar,T3,curtailment-renewable,documented-gap,JS-rendered-SPA,200 OK; reports listing shows Monthly Market Operations Summary and VRE Forecast Performance; file formats (PDF vs Excel) unconfirmed via WebFetch,IEMOP Monthly Market Operations Summary,0.0,leave-T3,T3,not-applicable,0.0000,IEMOP publishes per-region WESM prices across 9 areas (Luzon/Visayas/Mindanao sub-regions) shown on live dashboard. Regional price split is a SPLIT opportunity if CSV accessible.,,none,0
VNM,,EVN/NLDC (National Load Dispatch Centre),https://nldc.evn.vn/,vietnam,T3,curtailment-renewable,documented-gap,unreachable,SSL certificate error on both nldc.evn.vn and nldc.evn.vn/en; NLDC homepage unreachable; PDF-only dispatch reports documented in prior assessment,EREA/REGlobal 2025 citing NLDC (364 GWh curtailed 2020; 220 plants cut 2023),2.5,blocked-document-only,T3,not-applicable,0.0000,220 renewable plants cutting output confirmed by NLDC 2023 per REGlobal. 364 GWh solar curtailed 2020. Southern provinces affected. NLDC publishes PDF dispatch only.,,none,0
VNM,,EVN (Electricity of Vietnam),https://www.evn.com.vn/,vietnam,T3,curtailment-renewable,documented-gap,PDF-only,200 OK; EVN website loads; publishes annual reports and operational summaries but no machine-readable curtailment CSV or JSON endpoint found; PDF and HTML news only,EVN Annual Report / REGlobal 2025,2.5,blocked-document-only,T3,not-applicable,0.0000,EVN has renewable energy news section and annual reports. Curtailment documented in South Central/Central Highlands provinces 2021-2023. No open API or CSV.,,none,0
IDN,,PLN (Perusahaan Listrik Negara),https://www.pln.co.id/,indonesia,T3,curtailment-renewable,documented-gap,unreachable,302 redirect to pln.co.id then blank page returned by WebFetch; PLN Statistics PDF known to exist but TLS cert errors on direct PDF fetch,IEA Enhancing Indonesia Power System (14% Sumatra PV curtailment),0.8,blocked-document-only,T3,not-applicable,0.0000,IEA cites ~14% annual PV curtailment in Sumatra. RUPTL 2025-2034 published May 2025. No open curtailment API or CSV; PLN statistics PDFs only.,,none,0
IDN,,ESDM (Ministry of Energy and Mineral Resources),https://www.esdm.go.id/en/,indonesia,T3,curtailment-renewable,documented-gap,PDF-only,200 OK; ESDM portal lists HEESI PDF handbooks 2009-2024 and Indonesia Energy Outlook; generation data in PDFs only; no CSV download or API found,ESDM HEESI 2024 / IEA Indonesia 2023,0.8,blocked-document-only,T3,not-applicable,0.0000,ESDM publishes HEESI annual statistical handbook (PDF) with fuel-type generation breakdown. Sumatra solar curtailment ~14% cited by IEA. No machine-readable API.,,none,0
THA,,EGAT (Electricity Generating Authority of Thailand),https://egat.co.th/,thailand,T3,curtailment-renewable,documented-gap,unreachable,All EGAT paths (egat.co.th/en/ and sub-paths) return 404 or blank cookie-consent page; website appears rebuilt with no accessible data pages; PPAs updated for curtailment management per Enlit Asia 2026 interview,Ember Thailand 2025 (solar+wind 5.6% of generation 2024),0.3,blocked-document-only,T3,not-applicable,0.0000,EGAT updating PPAs for curtailment compensation per Enlit Asia 2026. Solar/wind ~5.6% of Thai generation 2024 (Ember). No public curtailment data or open API found.,,none,0
MYS,,GSO (Grid System Operator Malaysia),https://www.gso.org.my/,malaysia,T3,curtailment-renewable,documented-gap,auth-walled,403 Forbidden on all gso.org.my paths probed; Ember 2024 confirms solar surpasses 24% peak-demand threshold with periodic curtailment in southern Peninsular Malaysia,Ember Solar Grid Flexibility Malaysia 2024,0.15,blocked-document-only,T3,not-applicable,0.0000,Ember 2024: solar curtailment periodic in southern Peninsular Malaysia. GSO data used by IEA/Ember via bilateral access only. No public CSV or API confirmed.,,none,0
MYS,,Suruhanjaya Tenaga (Energy Commission Malaysia),https://www.st.gov.my/,malaysia,T3,curtailment-renewable,unknown,parseable-HTML-table,200 OK; ST homepage loads; publishes SAIDI/SAIFI reliability indices and Energy Malaysia magazine; no dedicated renewable curtailment dataset found; mentions energy transition programmes,Ember Solar Grid Flexibility Malaysia 2024,0.0,leave-T3,T3,not-applicable,0.0000,ST publishes reliability indices and Energy Malaysia magazine. No renewable curtailment data visible. Ember notes curtailment risk rising but no published annual figure.,,none,0
