country,subdivision,operator_name,operator_url,region_id_in_project,current_tier,phenomenon,coverage_status,data_format,probe_result,available_anchor,annual_anchor_TWh,recommended_action,recommended_tier_landing,loader_pattern_hint,priority_score,notes
Kazakhstan,,KEGOC (Kazakhstan Electricity Grid Operating Company),https://www.kegoc.kz/en/,kazakhstan,T2,curtailment-renewable,documented-gap,PDF-only,annual operational reports as PDF; no real-time API,IRENA Renewable Capacity Statistics 2024 Kazakhstan,0.4,leave-existing-T1+,not-applicable,not-applicable,0.0,"KEGOC publishes annual ops reports (PDF). Wind curtailment ~2-3% per IRENA; no live data feed. Existing T2 region 'kazakhstan'."
Uzbekistan,,National Electric Networks of Uzbekistan (NEGU),https://uzenergo.uz/,,not-modelled,curtailment-renewable,documented-gap,PDF-only,no real-time data; ministry annual reports,IRENA Renewable Capacity Statistics 2024 Uzbekistan,0.05,blocked-document-only,not-applicable,not-applicable,0.0,"NEGU site Russian/Uzbek; no English open-data portal. Solar/wind ~2GW by 2024 but curtailment data not published."
Turkmenistan,,Türkmenenergo,https://www.energetika.gov.tm/,,not-modelled,none-expected,documented-gap,no-public-data,no public website with operations data,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,"Closed-regime utility; no public dispatch or curtailment data. Grid is gas-dominated; minimal renewables (<5%)."
Tajikistan,,Barki Tojik,http://www.barqitojik.tj/,,not-modelled,none-expected,documented-gap,no-public-data,minimal public site; no operations data,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,"Hydro-dominated grid (Nurek/Rogun). Spring spill exists but not published. Site frequently unreachable."
Kyrgyzstan,,National Electric Grid of Kyrgyzstan (NESK),http://www.energo.gov.kg/,,not-modelled,none-expected,documented-gap,no-public-data,no operations data published,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,"Hydro-dominated (Toktogul). NESK successor to OJSC NEGK. No public real-time or annual curtailment series."
Iran,,TAVANIR / IGMC,https://www.tavanir.org.ir/,iran,T2,curtailment-renewable,documented-gap,JS-rendered-SPA,Persian-language portal with stats dashboards; geo-blocking common from West,IRENA Renewable Capacity Statistics 2024 Iran,0.1,leave-existing-T1+,not-applicable,not-applicable,0.0,"TAVANIR/IGMC publish SCADA dashboards in Farsi; sanctions/geo-block frictional. Solar+wind <2 GW. Existing T2 'iran'."
Iraq,,Ministry of Electricity (MoELC),https://moelc.gov.iq/,iraq-mainland,T2,curtailment-renewable,documented-gap,PDF-only,annual reports as PDF; no API; site often unreachable,IEA Iraq Energy Outlook 2024,0.0,leave-existing-T1+,not-applicable,not-applicable,0.0,"MoELC operates national grid ex-KRG. Chronic deficit so curtailment marginal. Existing T2 'iraq-mainland'."
Iraq,Kurdistan,KRG Ministry of Electricity,https://gov.krd/moel-en/,kurdistan,T2,curtailment-renewable,documented-gap,parseable-HTML-table,KRG MoE site has English news/stats pages; no live SCADA,IEA Iraq Energy Outlook 2024 (KRG section),0.0,leave-existing-T1+,not-applicable,not-applicable,0.0,"KRG separate dispatch (Erbil/Sulaymaniyah/Duhok). Existing T2 'kurdistan'. Solar pilots only."
Iraq,South,South Iraq flaring (BOC/MOC oilfields - Basra),https://www.worldbank.org/en/programs/gasflaringreduction,s-iraq,T2-flare,flare-associated-gas,published,no-public-data,GGFR/VIIRS satellite; operator does not publish flare-volume series,GGFR Global Gas Flaring Tracker Report 2024 (Iraq),17.9,leave-existing-T1+,not-applicable,not-applicable,0.0,"Existing T2-flare region 's-iraq'. Iraq #2 global flarer ~17.9 BCM/yr per GGFR 2024 (proxy as TWh thermal-equiv)."
Saudi Arabia,,Saudi Electricity Company (SEC),https://www.se.com.sa/,saudi-solar,T2,curtailment-renewable,documented-gap,PDF-only,SEC annual reports PDF; National Grid SA site for transmission,IRENA Renewable Capacity Statistics 2024 Saudi Arabia,0.05,leave-existing-T1+,not-applicable,not-applicable,0.0,"SEC + National Grid SA + ECRA. Sudair (1.5 GW) + Sakaka online; PIF/Acwa pipeline. Existing T2 'saudi-solar'."
